article,label
OBAMA Is GIVING YOUR Money To Illegal Aliens To Start Businesses…You Won’t Believe Where Those Businesses Are Located [VIDEO],0
"Bangladesh, Myanmar agree on 'working group' for refugee plan: minister",1
"Trump, China's Xi to meet April 6-7 in Florida: source",1
Trump says his comments on Mexican-American judge misconstrued,1
"Trump meets insurers, promises catastrophic year for Obamacare",1
 WATCH: Anderson Cooper Throws MAJOR Shade At White House Aide Over ‘Fake News’,0
U.S. gives Laos extra $90 million to help clear unexploded ordnance,1
Trump calls for worldwide action against North Korea nuclear threat,1
Islamic State defeated in its Syrian capital Raqqa,1
House Committee requests EpiPen documents from Mylan,1
Putin dismisses U.S. hacking allegations as campaign rhetoric,1
U.S. says it will take steps after Cambodia's dissolves opposition party,1
Trump Interior nominee would consider more drilling on federal land,1
Islamic State claims responsibility for attack southeast of Baghdad: Amaq,1
Clinton slams student loan servicer Navient as misleading,1
Croatia jails Serb paramilitary commander for war crimes,1
Son of Russian lawmaker sentenced in U.S. for role in cyber crime ring,1
"Biden, not mentioning Trump, defends free press, independent judiciary",1
Germany's figurehead president now best hope of unlocking political crisis,1
Republican senator says Trump yet to demonstrate needed stability,1
U.S. condemns threat to ban Venezuela opposition from elections,1
"Factbox: Trump to meet with Huckabee, Romney, others this weekend",1
Senate panel approves measure to broaden North Korea sanctions,1
South African security agency files legal complaint against Zuma author,1
Syrian opposition: Russia conference aims to rehabilitate Assad,1
"Trump, Cruz tensions may provide liveliest Republican debate yet",1
"Once a self-funder, Trump's new fundraising machine ramps up",1
Trump to nominate Rod Rosenstein to be deputy U.S. attorney general,1
Zimbabwe war vets to launch court case to legalize military action to oust Mugabe,1
Anti-Mugabe pastor acquitted in Zimbabwe of public violence charges,1
Factbox: Trump finishes filling top jobs for his administration,1
Indonesian police warn Islamists against raids in search of Santa hats,1
Trump administration's Africa policy in focus at AGOA trade talks,1
CalPERS chief sees volatility until Trump implements plans,1
"France's Macron tells Iran, Israel leaders of need to preserve Lebanon's stability",1
Trump says U.S. deal with Russia on Syria will save many lives,1
Italy's 5-Star pummels center-right in Rome beachfront vote,1
Pakistan debates how to fill education gaps,1
"French Senate vote is blow to Macron, Conservatives keep majority",1
Obama to Republican leaders: why are you still endorsing Trump?,1
INSIDE TRUMP’S CHARITY BALL Tonight At Beautiful Mar-A-Lago…Protests Outside [Video],0
White House continues to cooperate with special counsel -official,1
WIKILEAKS HITS BACK At Lying Political Hack James Clapper…Testimony On The Hill Highly Partisan! [Video],0
Supreme Leader Khamenei says U.S. is Iran's 'number one enemy',1
"U.S. sanctions North Korean missile experts, Russia offers to mediate",1
Romanian protesters halt building of Xmas fair at protest site,1
Factbox: Trump fills top jobs for his administration,1
Highlights: The Trump presidency on April 21 at 6:12 p.m. EDT/2212 GMT,1
China complains to Australia over Turnbull comments on interference,1
Democratic Socialists make headway in U.S. after Trump's win,1
Head of East Africa's regional bloc condemns ICC Burundi investigation,1
LOIS LERNER E-MAIL SNIPPETS REVEAL A BITTER B*TCH: “Lincoln should have let the South go…”,0
