text,transformed_text,label
"emergency responders working to dislodge commercial jet from thick, polluted cloud over new delhi","exigency respondent working to dislodge commercial jet from thick, over taint contaminated new delhi",sarcasm
vending machine most up-to-date technology in school,peddling technology most up-to-date machine inwards school,sarcasm
new energy secretary guesses he ought to read up on energy,fresh energy ought guesses he secretary to up along energy,sarcasm
horde of orange monsters exits local tanning salon,horde of orange lusus naturae local exits tanning salon,sarcasm
isis struggling to narrow down gop debate sound bites for new recruitment video,ISI struggling to narrow recruitment gop debate sound chomp for new down video,sarcasm
console wars heat up as zenith unveils gamespace pro,console wars heat up as professional zenith,sarcasm
ryan lochte now changing account of events going back years before robbery,ryan lochte now changing of events going before year back robbery,sarcasm
idea to see mario van peebles movie occurs to no one,to take care wave new mario movie occurs to no one,sarcasm
antifa organizers announce plans to disrupt neo-nazi rally or whatever else going on that day,antifa arranger announce plans up break to rally whatever else going that day,sarcasm
kamikaze swimmers finally reach pearl harbor,kamikaze swimmers last at pearl harbor,sarcasm
new pepsi product specifically mentions target demographic in name,young target specifically mentions product demographic In name,sarcasm
consumer confidence verging on cockiness,consumer verging confidence along,sarcasm
frustrated employee no longer even trying to hide gre study books,frustrated employee gre longer yet test to hide no study books,sarcasm
mcdonald's prints calorie count right onto meat,mcdonald 's prints calorie right meat onto,sarcasm
area woman has more than 200 products to help calm her,help has More than 200 products to area calm her,sarcasm
man surprised to hear himself tell matt damon he's a 'big fan',man surprise to damon himself tell matte see he 's a 'big fan,sarcasm
world gets first-ever look inside greenspan fantasy ranch,inside first-ever look baffle greenspan ranch,sarcasm
nation to wait for more facts on texas shooting before doing absolutely nothing about it,nation wait for Thomas More on it shooting before serve nothing about texas,sarcasm
grocery-store worker can't bear to eat food anymore,grocery-store ca n't bear to any food eat longer,sarcasm
gym teacher still remembers names of every former pantywaist,gym teacher names remembers still of every sometime pantywaist,sarcasm
mom learns about new vegetable,mom veg new learns,sarcasm
pigeon's route accommodated,itinerary 's pigeon,sarcasm
car salesman three desks over going on and on about chick he banged last night,auto salesman three desk over live banged and on about chick he on go night,sarcasm
magazine runs article about louis c.k.,about runs article magazine Joseph Louis Barrow c.k.,sarcasm
woman thinks she would make a great talk-show host,woman thinks she would host a great make,sarcasm
food critic's wife makes the best lasagna she possibly can,critic 's wife the lasagne expert she can,sarcasm
dad delivers state of the union rebuttal directly into television screen,dad delivers state of the union into directly rebuttal television set screen,sarcasm
"god almost forgot to kill dave elfman of boulder, co today",now forgot to kill dave elfman boulder co almost,sarcasm
study finds leading cause of depression hearing words '2016 frontrunners',study finds contribute case of words disorder hearing depressive '2016 frontrunners ',sarcasm
mcdonald's birthday party to be happiest time in child's life,mcdonald 's life day party to happiest time in child 's natal,sarcasm
baseball slugger on pace to hit 60 women,baseball threescore on pace to hit slugger women,sarcasm
new envelope pushes envelope envelope,pushes envelope envelope,sarcasm
india holds 5k stampede for charity,india for 5k stampede holds charity,sarcasm
man trying to get out of executioner duty,stunned trying to get man of executioner responsibility,sarcasm
macklemore reminds grammys audience about cds available for sale in lobby,macklemore prompt audience cds for event sales in lobby,sarcasm
philip roth obituary just thinly disguised version of author's life,philip mask Roth obituary just lightly Philip version of author 's life,sarcasm
new financial report finds economy invincible forever this time,financial young finds economic system invincible forever this time,sarcasm
town nervously welcomes veteran back home,nervously veteran welcomes endorse home,sarcasm
non-denominational terrorist organization welcomes extremists of all faiths,non-denominational terrorist organization welcomes extremist completely of faiths,sarcasm
road sign over-explains highway's dangers,road dangers over-explains highway 's sign,sarcasm
area man purchases the devil's advocate on dvd for some reason,area man devil 's advocate on for videodisc approximately reason,sarcasm
change in bus seats taken personally,change in bus taken area seating personally,sarcasm
new ted nugent cologne tested on 'every goddamn animal we could find',new Teddy boy nugent cologne essay along 'every goddamn we animal find ',sarcasm
mental hospital fire leaves hundreds of demons homeless,genial leaves infirmary hundreds of homeless,sarcasm
fridge magnet pushed to limits,to magnet pushed fridge set,sarcasm
u.n. tribunal swayed by thousands of children's letters to milosevic,u.n. tribunal of by thousands sway children 's letter to milosevic,sarcasm
secretary of education under investigation for falsifying hall passes,hall of education under investigation for secretary hand,sarcasm
supreme court justices keep citing cases roberts and alito are too young to remember,supreme Pres keep refer cases Oral Roberts and alito are overly court Young remember,sarcasm
pope francis trains for easter mass by dragging pew loaded with rocks across snow,pope francis trains for rocks mass by dragging pew loaded with easter crosswise pull the wool over someone 's eyes,sarcasm
progressive company pays both men and women 78% of what they should be earning,progressive company pays both and men women 78 % of what they should be take,sarcasm
"after one realizes methadone clinic nearby, behavior around city block makes sense","single realizes methadone pulley, behavior around city clinic makes sense",sarcasm
rumsfeld sick of jokes about his fat girlfriend,rumsfeld of jokes his about productive girlfriend,sarcasm
office janitor asks to work from home,spot janitor to asks knead from home,sarcasm
new workplace diversity initiative kills one white employee every hour on the hour until more minority candidates hired,new workplace diversity hour drink down one livid every time of day on the initiative more nonage hired,sarcasm
now that's what i call shitty music 8 tops album charts,now that 's what i call 8 music shitty tops charts,sarcasm
mars maven begins mission to take thousands of high-resolution desktop backgrounds,mars to begins mission maven get hold of thousand of high-resolution screen background,sarcasm
tsarnaev death penalty a warning to any other religious fanatics hoping to be martyred,be death penalty a warning to whatever other religious fanatics hoping to tsarnaev martyred,sarcasm
freemasons return to jupiter,jupiter riposte to freemasons,sarcasm
ivy-covered home like that on inside too,dwelling house too that along inside like,sarcasm
local los angeles awards show slated to open for grammys,local angeles los awards display slated to open for,sarcasm
hooded members of congress drown another love child in potomac to prevent affair from getting out,hooded fellow member of drown another love in kid potomac to prevent affair from getting extinct,sarcasm
relapse greatest week of man's life,relapse life of world 's week,sarcasm
"'these kids should be in school instead of protesting,' say people so tantalizingly close to getting the point","'these kids should be in schooling say of protesting,'instead people tantalizingly to getting the point",sarcasm
public-speaking student to make point of gesturing,educatee to piss of point,sarcasm
85 percent of u.s. cole slaw remains uneaten,85 kale of u.s. percent slaw stay uneaten,sarcasm
area woman not about to miss ally mcbeal for that,area about woman miss friend mcbeal for that,sarcasm
drought bad,bad drouth,sarcasm
lesbian couple enjoys hot lesbian action,dyad lesbian hot lesbian action,sarcasm
prima donna surgeon storms out of half-full operating theater,leading donna surgeon out storms of half-full dramatics,sarcasm
romney campaign reboots for 72nd consecutive week,romney campaign reboots consecutive 72nd for,sarcasm
congress splits into male and female senators to discuss newest reproductive bill,male splits into congress and female senators to newest generative,sarcasm
heritage foundation lowers another retired gop senator into vat of strategists,heritage cornerstone lower another berth retired gop senator into VAT of strategists,sarcasm
new online voting system allows millions of masturbators to take part in democracy,new on-line part organisation allows millions of masturbators to take voting democracy,sarcasm
friend from college wasted no time becoming white-collar professional,supporter becoming college wasted no time from white-collar professional,sarcasm
casual friday claims lives of 13 nuclear-waste-disposal technicians,casual friday technicians lives of long dozen nuclear-waste-disposal call,sarcasm
drew carey signs 75-year contract to host the price is right,drew carey signs 75-year the host to price is right,sarcasm
hollywood quietly shuts down after realizing that entertainment a delicate matter of subjective opinion,quietly delicate down afterwards that entertainment a close topic of immanent opinion,sarcasm
man with stupid breaks off co-dependent relationship,with stupid off bump co-dependent,sarcasm
huntsman quietly relieved to be polling poorly among gop voters,huntsman quiet relieved to be polling poorly Party Republican voters,sarcasm
rick santorum relieved no one has asked him about interracial marriage yet,rick santorum take over no marriage hold asked about interracial one yet,sarcasm
storybook romance leads to in-flight-magazine marriage,storybook romance marriage in-flight-magazine go,sarcasm
friendship blossoms into unrequited love,unreciprocated blossoms into friendship love,sarcasm
quaker oats canister relabeled 'drugs' for grade school play,Quaker oats sport 'drugs for grade schooltime canister,sarcasm
"hannity claims relationship with cohen never went past payment for legal advice, defense strategy in criminal cases","exact relationship with cohen never went past defrayment for criminal advice, defense scheme in legal cases",sarcasm
"area man too poor to afford movers, too old to get help from his friends","man too from to afford movers, to fault honest-to-goodness to help miserable his friends",sarcasm
citizens to vote on young or old reagan for $15 bill,citizens to vote on xv or old reagan for youthful nib,sarcasm
jay-z's grandfather busted with trunk full of canadian prescription drugs,jay-z 's grandfather canadian with trunk wide-cut of busted prescription drugs,sarcasm
inanimate object despised,object nonliving despised,sarcasm
supreme court agrees to hear new jack white album,supreme album accord hear raw jack white court,sarcasm
report: apocalypse actually happened 3 years ago,: materialise actually apocalypse 3 years agone,sarcasm
man thinks receptionist is hitting on him,human receptionist thinks is hitting him,sarcasm
man miscast in role of father,man role in miscast father,sarcasm
