text,transformed_text,label
The majority of them are as stupid as real Negroes .,The absolute majority of them are as stupid as real Negroes .,Hate
put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,put the nipper indium group A ophanage and arrest the whore of a mother to angstrom charge of non having more biracial jolly 8 kid have to suffer all their endure to due a sporting lady,Hate
Get one of these t-shirts for next time you see him : - Asatru Versand - Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shirt ) Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shir themd-kein-islam,arrest one of these jersey for next time you see him : - Asatru Versand - Kein Muhammadanism in Europa - das Christentum ist schlimm genug ( jersey ) Kein Islam in Europa - cony Christentum ist schlimm genug ( T-Shir themd-kein-islam,Hate
I guess I would be destined for the gas chambers .,I guess I would atomic number 4 designate for the gas chambers .,Hate
"Take it slow then gradual , hell make them watch MTV for a few hours it 's the same thing as animal planet. and just gradually introduce them to your views .","Take it slacken then gradual , hell get to them keep an eye on MTV for A few hours it 's the same matter group A animal planet . and just gradually introduce them to your views .",Hate
I would hate to live in Dublin with all the foreigners there now .,I would hate to dwell in Dublin with all the outlander there now .,Hate
"I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis .","I 'm moving to a braggy house pretty before long , and that mathematical function is complete for doing A groidal analysis .",Hate
"About the Chinese , those who remain in their own country are good , those who become illegal immigrants in white nations are bad .","About the Chinese , those WHO remain inward their own country are expert , those who become illegal immigrants in whitened nations are spoiled .",Hate
Sooner or later the black one will say `` mother * * * * er '' or `` madick '' .,Sooner OR ulterior the black one leave say `` mother * * * * er `` or `` madick `` .,Hate
I wonder what the shegroid that came running up did .,I wonder what the shegroid that occur execute up did .,Hate
I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here .,I was sort of trust that they leave make for back Ebola and spread it around to their possess tolerant and the rest of the undesirables WHO are not wanted Here .,Hate
White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...,White josh postulate to interact with kneegrows and other non white kids or they 'll be lost in the real follow the time they forget home ...,Hate
This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events .... a much better target ..... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper `` as their poster for their last event .,This family that wants to complain about homo should come to San Francisco and raise some infernal region atomic number 85 these gay pride consequence .... a much better target ..... and these people in San Francisco openly blasphemied Christ with their parody of ' The conclusion Supper `` vitamin A their poster for their last event .,Hate
The have no concept of honour or of having respect for the feelings of others .,The give no concept of pureness or of sustain respect for the feelings of others .,Hate
Why would you want to see this pollution spread further into our gene pool ?,Why would you deprivation to see this pollution circularise far into our gene pool ?,Hate
This is completely disgusting ... How can we continue to house these people who have complete contempt for us and all our laws and customs ?,This is completely disgusting ... How can we continue to domiciliate these people who have over scorn for us and all our laws and customs duty ?,Hate
These ' people ' are just scum .,These ' people ' personify just scum .,Hate
There have been times when I have walked past some nigerian or skinny and they will cough with hand at their side without care for those around them .,There have embody times when I have take the air past some nigerian or skinny and they bequeath cough with mitt at their side without guardianship for those or so them .,Hate
"Watch the video , its only 10 minutes , you will see that eventually the bi-racial minority is butchered .","Watch the video , its only decade minutes , you will realize that finally the bi-racial nonage is slaughter .",Hate
"We need more of our kids on the honor role and in college , crowding out the non-W 's !","We need to a greater extent of our nipper on the honor role and in college , crowd out the non-W 's !",Hate
"If this stupid brown savages would stop slaughtering animals or worshipping them ( like they do in India ) , maybe they would n't be starving and so poor .","If this poor fish brown savages would stop butcher animals or worshipping them ( like they do in India ) , perchance they would n't be starving and soh poor .",Hate
If half White non negro and Jew are Pro White and do n't reproduce then they are ok .,If half White not negro and Jew exist professional White and do n't reproduce then they live ok .,Hate
Charlton Heston is rolling over in his grave knowing an ape has been elected to the white house .,Charlton Heston is hustle over in his grave knowing an ape has been elective to the white house .,Hate
They ca n't stand toe to toe with the white man so they just dance around until they 're tired .,They calcium n't stomach toe to toe with the white man so they merely dancing around until they 're tired .,Hate
May the wigger sister and parents be haunted by her death for the rest of their lives as it is in effect by their hands and actions that their sister and daughter was murdered by this beast .,May the wigger sister and bring up constitute obsessed aside her death for the rest of their lives as it is in effect by their hands and actions that their sister and daughter equal murdered by this beast .,Hate
Americans and Irish understand each other better than Spaniards and the beaners .. the US and Ireland are the 1st world so they are educated unlike the beaners .,American language and Irish whisky understand each early better than Spaniards and the beaners .. the US and Ireland ar the 1st creation so they are educated unlike the beaners .,Hate
"The negro is for White genocide , and I have nothing for the negro , not even sympathy in any way .","The negro is for White race murder , and i have nothing for the negro , not even sympathy in any right smart .",Hate
I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,I make up White and I believe all White people eff the difference 'tween mightily and wrong no matter what they enjoin about their political positions.We are facing genocide as a people and the infighting cost equitable loved past non Whites .,Hate
They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',They 're Sir Noel Pierce Coward and simpletons who are dead incapable of generating a reason argument free of sententiously repeated strain phrases and scare-words like `` antiblack . ``,Hate
It really pisses of the liberal leftist,It really pisses of the liberal left-winger,Hate
Piece of * * * * deserves to be shot .,Piece of * * * * deserves to be shot .,Hate
It 'll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .,It 'll be a receive change to find group A lad WN from ensure hundreds of lefty bastards going to see RATM .,Hate
"It's a good to add a hint of truth in your essay 's but maybe you have it better off then I did at high school , every teacher I had was very liberal and anti-racist , and could barely accept the truth .","It 's a good to add amp hint of truth in your essay 's but perchance you have IT better off then i serve at high school , every teacher I had embody very openhanded and anti-racist , and could barely accept the truth .",Hate
"Most white girls are taught and brainwashed to love black guys , only way is to properly educate them and show them what savages they truly are .","Most white girls exist instruct and brainwashed to making love dark guys , only way is to properly cultivate them and show them what savages they truly comprise .",Hate
It's weird most Indians dot and to an extent feather that I deal with hate blacks more than they do whites and find blacks to be lazy and worthless .,It 's weird most Indians dot and to Associate in Nursing extent plume that I deal with hate total darkness more than they brawl Patrick White and find blacks to be lazy and slimy .,Hate
Most of these videos belong on the Animal Planet tv channel .,nigh of these videos belong along the Animal Planet tv channel .,Hate
i am just down the road to you.welcome to the board.it breaks my heart every time i go to Galway city and see the amount of blacks there.the other week i was walking down shop street and there was a moslem standing in the street selling copies of the koran,1 am good down the road to you.welcome to the board.it breaks my heart every time i go to Galway city and see the amount of blacks there.the early week i was walking down snitch street and there was a moslem standing in the street merchandising imitate of the koran,Hate
"Right now when I think of WASP 's , I think of New England liberals who have never had a taste of diversity in their life .","Right straight off when iodine think of wasp 's , I think of New England liberals who have never had a taste of diversity in their life-time .",Hate
that is absolutely * * * * ing unbelievable.they can just go route one now.no more messing about going through europe.in bongo land one minute jump on the plane and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM.i am totally depressed hearing this,that make up absolutely * * * * ing unbelievable.they keister precisely plump route one now.no Thomas More messing around going through europe.in bongo drum land one arcminute jump along the plane and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM.i embody all low-spirited hearing this,Hate
Just watch them at North America and they like all black sport players and their `` slang '' .,Just watch them at North America and they alike all blackness sport participant and their `` slang `` .,Hate
So now Stormfront Ireland is solely responsible for all racist attacks in Ireland. lol Ted is right this is the work of the Kikes those * * * * ers are never happy .,So at once Stormfront Ireland is entirely responsible for totally racist attacks in Ireland . lol Ted is right this is the piece of work of the Kikes those * * * * ers are ne'er happy .,Hate
"The whites and the asians evoluated , and the blacks are still behind .","The Andrew Dickson White and the asians evoluated , and the inkiness are still behind .",Hate
Last Friday an associate here handed out 100 NV leaflets at a rodeo depicting a graphic summation of non-white ( mestizo ) immigration .,in conclusion Fri an associate here handed prohibited 100 Battle Born State leaflets at a rodeo portray a graphic sum of non-white ( mestizo ) immigration .,Hate
"Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines YouTube - Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines Listen/watch the full interview @ Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines : Free Download & Streaming : Internet Archive www.DrDay.com www.GoodNewsAboutGod.com","Deanna Spingola and Dr. Lorraine Day - Zionist movement , the Holocaust , Aids and Vaccines YouTube - Deanna Spingola and doc Lothringen Day - Zionism , the Holocaust , Aids and Vaccines Listen/watch the full question @ Deanna Spingola and Dr. Lorraine Clarence Shepard Day Jr. - Zionist movement , the Holocaust , Aids and Vaccines : spare download & Streaming : internet Archive www.DrDay.com www.GoodNewsAboutGod.com",Hate
I heard about it is it about that white guy that killed that race traitor slut and her nig nog boyfriend ?,one heard about it is it near that white bozo that killed that hasten traitor slut and her nig nog fellow ?,Hate
"If a show does n't involve homosexuals and/or interracial coupling , then it has a bunch of jews masquerading as whites running around with guns killing other whites .","If a demonstrate does n't regard homosexuals and/or interracial mate , then it has a clustering of jews masquerading as whites incline around with guns toss off other whiteness .",Hate
