title,label
Clinton tells FBI she could not recall all briefings on preserving documents,1
Mexico minister says Trump team receptive in trade discussions,1
Russia tells two U.S. news outlets they may be affected by new 'foreign agent' law: agencies,1
India's muted response to Trump's Jerusalem move stokes Arab unease,1
"Blast at Tupras refinery in Turkey kills four, production unaffected",1
Argentina fires head of navy over submarine tragedy,1
Texas congressman will not seek re-election in wake of nude photo,1
SHOCKER! CLINTON CAMPAIGN MANAGER Gets Grilled By CNN’s Jake Tapper: “She hasn’t been cooperative” [Video],0
"Republican senators criticize CBO, welcome health-care plan",1
"Too little cash, too much politics, leaves UNESCO fighting for life",1
South Korea postpones university exam after rare earthquake,1
Merkel's conservatives warned not to close off coalition options,1
EPA watchdog expands audit of administrator's travel: memo,1
WOMAN CONFRONTS Guy Paying With Food Stamps: “I’m paying for that” [Video],0
U.S. could start missing payments on October 2: think tank,1
"Hawks Double Down, Dig-in and Refuse to Give Up Failed ‘Assad Must Go’ Foreign Policy",0
White House says denuclearization remains priority for Korean Peninsula,1
" Louisiana’s Dem. Governor Steps Up, Signs Executive Action Barring LGBT Discrimination",0
Pinera leads Chile election with 36 percent after partial count,1
Myanmar's Rohingya exodus: A desperate escape,1
Iran has 'all options on table' if U.S. blacklists Revolutionary Guards: ISNA,1
 Moms With Transgender Kids Have A BRILLIANT Message For Anti-LGBT Conservatives (VIDEO),0
Trump slaps sanctions on Venezuela; Maduro sees effort to force default,1
"Senate Democrats delay committee votes on Sessions, Mnuchin, Price",1
Bus bomb kills eight in Syria's Homs city: state media,1
Catalonia's pro-independence parties seen losing majority in election: poll,1
Attack on workers at key Pakistan port for Chinese project; 26 hurt,1
Spain's King condemns Catalan leaders as thousands take to streets,1
Damaged A380 to be flown to France to investigate engine blast,1
 Trump Disproves The Effectiveness Of Walls As He Climbs Over One Himself (VIDEO),0
WATCH TUCKER CARLSON DESTROY Racist Flamethrower For Questioning “Hero” Label For White OSU Cop [VIDEO],0
U.S.-backed militias say they take major Raqqa position from ISIS,1
"Arms supplied by U.S., Saudi ended up with Islamic State, researchers say",1
"Papua New Guinea starts dismantling detention camp, threatens forcible evict of asylum seekers",1
 House Conservatives Planning To End Paul Ryan: ‘You Got To Stab Somebody’,0
"Fearing for post-Brexit prosperity and peace, farmers demand invisible Irish border",1
Iceland's president asks leftist opposition leader to form new government,1
Peru's Congress prepares to oust President Kuczynski,1
Foreign tourist numbers up 23 percent in Tunisia in 2017,1
Three lawmakers question Kushner Cos on concerns over White House tie,1
Obama takes turn as 'America's pitch man' to help sell TPP trade deal,1
Burundi says U.N. office break-in may have been fabrication,1
"Trump on North Korea, Wall Street regulation, tech stocks",1
House committee to hold Puerto Rico hearing Feb. 25,1
Trump's golf buddy Norman pitches Australia to lead diplomatic line,1
"From blind date to Botswana's stars, Prince Harry charts love for U.S. actress Meghan Markle",1
"Saudi Arabia releases corruption detainees, others to stand trial: report",1
Taiwan seeks to build soft power with retooled southbound policy,1
DETROIT PUBLIC SCHOOL Assistant Supervisor Admits To Stealing Money From Special Needs Students,0
Trump calls Ford building plant in Mexico 'an absolute disgrace',1
Giuliani pulls out of consideration to serve in administration: Trump,1
Possible Putin-Trump meeting in Vietnam still under discussion: Kremlin,1
Libyan forces order investigation into bodies found near Benghazi,1
"3,000 form chain of light against far right in Austrian government",1
"U.S. retaliates against Russia, orders closure of consulate, annexes",1
Russian submarines fire cruise missiles at Islamic state in Syria,1
"Hillary Clinton, in push for black support, promises to tackle racial disparities",1
"Scenting power, potential Merkel coalition partners edge closer on Europe",1
Kremlin: Syria peoples' congress being 'actively discussed',1
"Defense, finance, telecoms donated heavily to Trump inauguration: U.S. filing",1
Trump's defense chief sees no military collaboration with Russia,1
WOW! 1996 NYT’s Stunning Article SLAYS First Lady Hillary Clinton…Calls Her A “CONGENITAL LIAR”…”she is in the longtime habit of lying; and she has never been called to account for lying”,0
Over 840 people injured in Catalonia during referendum: Catalonia regional government,1
France's Macron says will continue to press Trump on climate agreement,1
 WATCH: Hillary Smacks Trump With His Own Words On The Issues In New Video Series,0
Exclusive: U.S. to renew most Myanmar sanctions with changes to aid business,1
Venezuelan President Maduro will not go to U.N. rights forum,1
Fires destroy more villages in Myanmar's Rohingya region: sources,1
