text,label,source,original_text
I remember feeling shocked and a little embarrassed that the rite of unity of the adf in which I was consecrated was so much about me,5,synthetic,i remember feeling shocked and somewhat embarrassed that the adf unity rite i was consecrated in was so much about me
I think and I feel her funny it's sad it's weird but more than all that is the truth,5,synthetic,i think and feel its funny its sad its weird but more than any of that its the truth
I was like oh thats awesome blah but then he was like reminding me that he's interested in this other girl and I was like that but what worries me more is if it makes you feel too weird to be with me like that,5,synthetic,i was like oh thats awesome blah but then he was like reminding me hes interested in this other girl and i was like i know this but what concerns me more is if it makes you feel too weird to be with me like this
I feel a little overwhelmed here.,5,synthetic,i am feeling a bit overwhelmed here
I feel like it would be strange at least and maybe offensive to tell a gay friend that he likes to experiment or something like that.,5,synthetic,i feel like itd be strange at the least and possibly offensive to tell a gay friend id like to experiment or something like that
I feel so amazed and sad about the earthquake in Christchurch's new zeal and yesterday.,5,synthetic,i am feeling so stunned and sad about the earthquake in christchurch new zealand yesterday
I feel almost funny not to add a photo to the bottom of my post like Denis and Dave.,5,synthetic,i almost feel funny not adding a picture at the bottom of my post like denis and dave
I think the most readers feel impressed by the individual journey,5,synthetic,i believe the most readers feel impressed by the individual journey
"I've learned so much with him, even now I'm still learning new things about rabbits. I think you keep learning that they're surprised by them.",5,synthetic,i have learned so much with him even now i still learn new things about rabbits i feel you always keep learning about them being amazed by them
I feel weird if I don't do anything.,5,synthetic,i feel weird if i just do completely nothing
I've often sat back and I feel surprised when the episode was over.,5,synthetic,i often sat back and feel amazed when the episode was over
I asked Darren when he came home like I felt a little curious even if it didn't really matter and it really wasn't my business.,5,synthetic,i asked darren about it when he got home as i was feeling a bit curious even though it didnt really matter and it was really none of my business
I feel a little dizzy and crossed,5,synthetic,i feel sort of dazed and cross eyed
I like to think that in the near future badly feel the desire to write an album or two that really impressed me with a href http beautifululfamily,5,synthetic,i do like to think that in the near future ill feel the urge to write up an album or two that has really impressed me most likely a href http handsomefamily
I guess it doesn't help that I was sick on dark Friday and was forced against my will to keep my promise to stay in but being back in town feels amazing,5,synthetic,i guess it doesn t help that i got sick on black friday and was forced against my will to maintain my promise to stay in but being back in the city feels amazing
I feel so curious to know if you and Dad were bitten.,5,synthetic,i just really feel so curious about whether you and dad have ever been bitten
I feel weird.,5,synthetic,i feel weird
I feel that the most amazed im still by silent knight who is an instrumental song ala hizaki,5,synthetic,i feel that im most amazed still by silent knight which is an instrumental song ala hizaki
I was a little lying on my missing arm playing on the computer then I got up to turn to eat dinner but on the adjective path of a sudden this mania in my chest neck felt like a rebound of electricity shocked me or something so my left leg,5,synthetic,i was kinda laying on my disappeared arm playing on the computer then i got up to turn eat dinner but on the way adjectives of a sudden this wierd feeling in my collar chest felt like a bounce of electricity shocked me or something then my left paw
I woke up feeling confused and confused,5,synthetic,i woke up feeling dazed and confused
I feel a strange sense of inheritance,5,synthetic,i feel a strange sense of legacy
ive never writes well that I will not reproduce it here because it is full of boring academic references and also it specifically analyzes several prominent bloggers and their treatment of romantic relationships and id feel weird to put it on the Internet,5,synthetic,ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet
Im getting there but I feel really dazzled and confused right now,5,synthetic,im getting there but i really do feel dazed and confused at the moment
