headline,detection,transformed_text
5 types of web content for driving extra traffic,not sarcastic,
"new, improved olean 30 percent less likely to make you shit in your pants",sarcastic,
two thumbs down on air nonsense,not sarcastic,
"autopsy determines total loser's corpse contained no traces of drugs, alcohol",sarcastic,"autopsy determines loser 's retrace contained No corpse of drugs, alcohol"
benedict cumberbatch prepares for battle in magical new 'doctor strange' trailer,not sarcastic,
u.s. reverses course and offers new dates for nato talks,not sarcastic,
a letter to parents at the start of a new school year,not sarcastic,
u.s. figure skating team makes history with record number of asian-americans,not sarcastic,
lesbian couple enjoys hot lesbian action,sarcastic,dyad lesbian hot lesbian action
this big dog and little bird are inseparable pals,not sarcastic,
gallant amazon user heroically defends 'fringe' season 2 box set from negative reviewers,sarcastic,beau amazon season defends user 2 fit from negative
donald trump says his supporters should 'hit back' at protesters more often,not sarcastic,
it just got easier for detroit students to pay for college,not sarcastic,
"kim, cosby and kim: 2014's greatest fails",not sarcastic,
poll worker injured by trump sign booby-trapped with razor blades,not sarcastic,
local los angeles awards show slated to open for grammys,sarcastic,local angeles los awards display slated to open for
rubio slams private fundraiser secrecy: 'it's a public event',not sarcastic,
chester bennington's wife shares video of him laughing hours before his death,not sarcastic,
food critic's wife makes the best lasagna she possibly can,sarcastic,critic 's wife the lasagne expert she can
welterweight boxer dies after sustaining serious injuries in bout,not sarcastic,
the bus that did not stop for us: a mother's take on the headscarf court ruling,not sarcastic,
confessions of a secret dog stalker,not sarcastic,
troy aikman: i 'knock on wood' hoping i stay healthy after concussions,not sarcastic,
a lifeline for disappearing cod,not sarcastic,
permission denied,not sarcastic,
at&t set to announce directv acquisition sunday,not sarcastic,
french prime minister: we are at war against radical islam,not sarcastic,
olympic swimmer ariana kukors is ready to fight sexual abuse in sports,not sarcastic,
how to write a thank you that gets you hired,not sarcastic,
relapse greatest week of man's life,sarcastic,relapse life of world 's week
"trump rebuffs his opioid task force, declines to declare state of emergency",not sarcastic,
suspected austin bomber dead in confrontation with police,not sarcastic,
largest ever all-female expedition sets sail for antarctica,not sarcastic,
friday's morning email: the latest in the trump-comey saga,not sarcastic,
horde of orange monsters exits local tanning salon,sarcastic,horde of orange lusus naturae local exits tanning salon
trump loved 'excellent actress and fine person' meryl streep in 2015,not sarcastic,
patty jenkins 'extremely distressed' over brett ratner allegations,not sarcastic,
ringo starr announces 26th beatles album with new backing band,sarcastic,
"women in business: three generations of women in radio: renee roth, jo-ann silverstein and rachel roth",not sarcastic,
trump dismisses accusers as women,sarcastic,the give trump sack accusers as women
trump supporters move to block vote recounts in 3 states,not sarcastic,
mike pence brings wife up onstage to help demonstrate how much contact appropriate before marriage,sarcastic,
"israel retroactively legalizes 4,000 settler homes",not sarcastic,
'i'm sorry i didn't finish the job',not sarcastic,
dionne warwick remembers bobbi kristina brown,not sarcastic,
website on disabilities act that tripped up betsy devos disappears,not sarcastic,
zenefits once told employees: no sex in stairwells,not sarcastic,
7 strategies for lasting fat loss,not sarcastic,
waiting for primary returns at a heroin anonymous meeting,not sarcastic,
here is the 8th person who was at donald trump jr.'s meeting with russians,not sarcastic,
from 13 to 23: a study in artificial maturity,not sarcastic,
ken burns implores stanford graduates to believe sexual assault survivors,not sarcastic,
bernie sanders holds back tears as brother memorializes their parents during dnc vote,not sarcastic,
these insane ping pong trick shots will get you in the groove,not sarcastic,
study finds leading cause of depression hearing words '2016 frontrunners',sarcastic,study finds contribute case of words disorder hearing depressive '2016 frontrunners '
strudel the obese dog's fitness journey is nothing short of inspiring,not sarcastic,
new 92-grain bread depletes majority of world's resources,sarcastic,
post-retirement work may not save your golden years,not sarcastic,
nobel prize awarded to man who helped humans have more fucking babies,sarcastic,
legendary broadcaster dies at 82,not sarcastic,
"america, the next hobby lobby case is heading for the supreme court",not sarcastic,
adorable girls sum up why we need more landmarks named after women,not sarcastic,
"kim kardashian channels cruella de vil, plus more outrageous looks of the month",not sarcastic,
citizens to vote on young or old reagan for $15 bill,sarcastic,citizens to vote on xv or old reagan for youthful nib
man accused of keeping woman in crate killed by cops,not sarcastic,
pamela wright's son was shot dead a month after newtown. this is her story.,not sarcastic,
the first felony trial of trump inauguration protesters is about to go to a jury,not sarcastic,
meet the third party,not sarcastic,
democratic lawmaker gives scott pruitt brutal reality check during senate hearing,not sarcastic,
autopsy reveals subject was still alive when autopsy began,sarcastic,autopsy reveals subject was alive still when necropsy get down
here's how india can become more integrated in global trade,not sarcastic,
is twitter bad for language? statistical analysis says no (new book),not sarcastic,
"'8 on 8' brawl ends in officer shot, suspect killed",not sarcastic,
how i came to follow my passion,not sarcastic,
mother's day -- more than once a year,not sarcastic,
axe wants to shed its douchey reputation and empower men,not sarcastic,
sanders could pull off michigan-style upset in ohio,not sarcastic,
russians mint 'in trump we trust' coin ahead of u.s. inauguration,not sarcastic,
kim kardashian tries to explain why she's famous to a toddler,not sarcastic,
getting up close to homophobia,not sarcastic,
colorado congressman hangs on after splitting with donald trump,not sarcastic,
"serial killer remembers neighbors as quiet, unsuspecting",sarcastic,
retailers hiring the most employees for the holidays,not sarcastic,
oxycontin maker criticized for new 'it gets you high' campaign,sarcastic,oxycontin novel knock maker 'it gets you high'campaign
how much will black lives matter in trump's america?,not sarcastic,
"area man too poor to afford movers, too old to get help from his friends",sarcastic,"man too from to afford movers, to fault honest-to-goodness to help miserable his friends"
10 ludicrous things republicans have actually said about health,not sarcastic,
young frenchman identified as possible bomber in attack on bataclan concert hall,not sarcastic,
30 things i've learned about life and kindness in my 30s,not sarcastic,
hillary clinton and bernie sanders vie for california's support,not sarcastic,
insiders blame rove for covering up iraq's real wmd,not sarcastic,
ted cruz: federal reserve is being run by philosopher kings,not sarcastic,
magazine runs article about louis c.k.,sarcastic,about runs article magazine Joseph Louis Barrow c.k.
mom learns about new vegetable,sarcastic,mom veg new learns
clinton campaign hits trump for seeing brexit as boon to his business,not sarcastic,
court rules 'cannibal cop' can fantasize about whatever he wants,not sarcastic,
uae warns citizens to avoid wearing traditional clothing while abroad,not sarcastic,
the pakistani army's coup against itself,not sarcastic,
the first 'rogue one' trailer is a 'star wars' nerd's dream,not sarcastic,
the celebrity that left tom hanks and rita wilson speechless,not sarcastic,
james corden makes emotional plea for gun control after vegas tragedy,not sarcastic,
man with stupid breaks off co-dependent relationship,sarcastic,with stupid off bump co-dependent
trevor noah mockingly praises trump's 'right racism' of 'pocahontas' slur,not sarcastic,
this is not your grandma's first brexit,not sarcastic,
russian president: saber-rattling is counterproductive with north korea. it's impossible to scare them.,not sarcastic,
james cameron cried the first time he heard james horner's 'titanic' theme,not sarcastic,
quaker oats canister relabeled 'drugs' for grade school play,sarcastic,Quaker oats sport 'drugs for grade schooltime canister
"in the face of systemic racism, south asians must not keep silent",not sarcastic,
hacker who stole celebrities' nude photos gets 9 months in prison,not sarcastic,
mudslide kind of fun until the dying part,sarcastic,mudslide of tolerant fun the dying
treasury department renames building to honor emancipated slaves,not sarcastic,
how to make the perfect mother's day breakfast,not sarcastic,
washington teen broke up with girlfriend before deadly shooting: reports,not sarcastic,
dad claims kingdom so 7-year-old can be real princess,not sarcastic,
grab them by the… hand: donald trump's disturbing nonverbal behavior,not sarcastic,
"reality, risk & reward: is us kids tv ripe for authenticity and autonomy?",not sarcastic,
"hugh laurie returns to the doctor game, except in chance he has none of the answers",not sarcastic,
no one speculating about family matters series finale,sarcastic,nobelium one family about speculating matters conclusion
drew carey signs 75-year contract to host the price is right,sarcastic,drew carey signs 75-year the host to price is right
"bernie sanders draws more than 20,000 people at boston rally",not sarcastic,
less popular friend proposes combining birthdays into single party,sarcastic,a to lesser extent pop friend proposes combining birthdays into single party
huffpollster: indiana's gop primary will be a battle between demographics and economics,not sarcastic,
"albuquerque shooter on the loose; gunman leaves 1 dead, 3 injured",not sarcastic,
console wars heat up as zenith unveils gamespace pro,sarcastic,console wars heat up as professional zenith
10 communication secrets of great leaders,not sarcastic,
disturbing ad shows how trump is teaching students to hate,not sarcastic,
the government problem,not sarcastic,
hillary clinton calls water crisis 'immoral' in visit to flint,not sarcastic,
"girl, 4, killed during apparent road rage attack",not sarcastic,
zeke thomas wants gay men to stop staying silent about assault,not sarcastic,
las vegas review-journal staffers want to know who owns their newspaper,not sarcastic,
the 7 upsides to sending your last kid off to college,not sarcastic,
that time mariel hemingway made out with all the women on 'snl',not sarcastic,
mark sanford's fiancee found out about split from facebook post,not sarcastic,
amber rose encourages iggy azalea to 'date a bunch of hot guys' to get over nick young,not sarcastic,
"for conservative press, the post-trump reckoning can't come soon enough",not sarcastic,
end gun violence by repealing not enacting legislation,not sarcastic,
"for freelancers, growing opportunity and risk",not sarcastic,
kate mckinnon's creepy kellyanne conway goes fatal attraction on 'snl',not sarcastic,
"our final oscar predictions, plus who should actually win at sunday's awards",not sarcastic,
woman thinks she would make a great talk-show host,sarcastic,woman thinks she would host a great make
cable news sure could talk to more muslims about the muslim ban,not sarcastic,
syrian rebels to exit aleppo as truce begins,not sarcastic,
30 days of online dating: i should have broken the rules,not sarcastic,
let's get trump's evangelical council to resign,not sarcastic,
here's how much the house has paid in recent sexual harassment settlements,not sarcastic,
how (not) to repeat history,not sarcastic,
new pepsi product specifically mentions target demographic in name,sarcastic,young target specifically mentions product demographic In name
the case for holistic education in the wake of charlottesville violence,not sarcastic,
terrorism is terrorism,not sarcastic,
recent saving of planet attributed to working assets long-distance plan,sarcastic,recent of planet attributed program working asset long-distance to
this accused 'mainsplainer' is attacked for defending alleged victims,not sarcastic,
a safe birth for imelda,not sarcastic,
pope francis trains for easter mass by dragging pew loaded with rocks across snow,sarcastic,pope francis trains for rocks mass by dragging pew loaded with easter crosswise pull the wool over someone 's eyes
8 clever packed lunch hacks we stole from kids,not sarcastic,
even conservatives now admit the u.s. needs paid family leave,not sarcastic,
"after careful consideration, bush recommends oil drilling",sarcastic,"after careful consideration, oil recommends rock bush drilling"
american tourist punched for giving nazi salute in germany,not sarcastic,
donald trump is terrible news for our food system,not sarcastic,
the wealthiest have a private tax system that saves them billions,not sarcastic,
charlize theron makes a villain out of vin diesel in this 'fate of the furious' clip,not sarcastic,
people-watcher catches glimpse of rare north american black doofus,sarcastic,people-watcher grab glimpse of doofus north american pitch-black rare
want to be healthier? flirt more,not sarcastic,
anyone want to watch bill murray get sprayed with champagne?,not sarcastic,
5 faith facts about chris christie,not sarcastic,
shameless new dad uses craigslist to try to hook up with his wife's delivery nurse,not sarcastic,
donald trump's attacks on a judge were racist and wrong: poll,not sarcastic,
supreme court puts redrawing of texas electoral maps on hold,not sarcastic,
government data sharpens focus on crude-oil train routes,not sarcastic,
"from birth control to culturally competent care, affordable care act breaks down health care barriers",not sarcastic,
content marketing guide from the best content director awardee: nic mccarthy,not sarcastic,
this one neat trick will eliminate clickbait forever,not sarcastic,
watch your favorite musicians perform 'the hamilton mixtape' live,not sarcastic,
you won't believe where this key got stuck,not sarcastic,
the bible has no place in modern american society: sobering lessons from donald trump and kim burrell,not sarcastic,
"six dead, 10 hurt in baltimore commuter, school bus crash",not sarcastic,
why we should value (but not worship) reason,not sarcastic,
people show their love for the epa with thousands of valentines,not sarcastic,
this is what boy scouts' intolerance to transgender people is doing,not sarcastic,
trial for charleston church shooter dylann roof delayed until january,not sarcastic,
"connection, mission, game: your best friends",not sarcastic,
40-foot american flag pin welded to statue of liberty,sarcastic,
reproductive health and rights in an age of inequality,not sarcastic,
'the world is emptier now': celebrity fans and friends pay tribute to david bowie,not sarcastic,
german auto engineer issued lab coat,sarcastic,german motorcar lab issued engineer coat
how a tv-free summer is changing our family,not sarcastic,
what is america's first muslim fraternity really like?,not sarcastic,
russia vows to expand 'black list' of americans in response to new sanctions,not sarcastic,
"come to listen, mr. president",not sarcastic,
baseball slugger on pace to hit 60 women,sarcastic,baseball threescore on pace to hit slugger women
mizzou chancellor condemns 'verbal assault' by melissa click during homecoming parade,not sarcastic,
try to keep calm but k-pop band bts is getting a documentary series,not sarcastic,
how imani boyette's love for basketball helped her overcome depression,not sarcastic,
ufc champion jon jones sentenced in hit-and-run case involving a pregnant woman,not sarcastic,
family chooses different dog than reincarnated grandfather,sarcastic,
office janitor asks to work from home,sarcastic,spot janitor to asks knead from home
"in india, gaps in quality of care leave women seeking sterilization vulnerable",not sarcastic,
taylor swift thanks her 'boyfriend adam' during iheartradio music awards speech,not sarcastic,
mike ditka has not been paying attention to history,not sarcastic,
sleepover guests get story straight on what time they went to bed,sarcastic,
the problem with calling women 'females',not sarcastic,
9 parking garage designs that are works of art,not sarcastic,
the first family looked exceptionally stylish on easter sunday. obvi.,not sarcastic,
donald trump makes dubious claim about inauguration singer jackie evancho,not sarcastic,
vending machine most up-to-date technology in school,sarcastic,peddling technology most up-to-date machine inwards school
how real estate players are bracing for the l train shutdown,not sarcastic,
don't let the headphones (or the extra fat) fool you,not sarcastic,
"my husband died, how can i be thankful?",not sarcastic,
10 days that shook the regressive world,not sarcastic,
network faces backlash after putting white woman in 'brownface' to appear muslim,not sarcastic,
this dance inspired by 'moonlight' is almost as gorgeous as the real thing,not sarcastic,
missouri attorney general finds no evidence planned parenthood mishandled fetal tissue,not sarcastic,
australian asylum seekers told to choose life in jail or risk death in home countries,not sarcastic,
trump fans the flames,not sarcastic,
video:  #icantbreathe poem on house floor,not sarcastic,
new workplace diversity initiative kills one white employee every hour on the hour until more minority candidates hired,sarcastic,new workplace diversity hour drink down one livid every time of day on the initiative more nonage hired
raccoon crushed to death by garbage truck hits jackpot with reincarnation,sarcastic,crushed to death truck refuse by hits kitty with rebirth
how 3 badass women stopped an alleged rape attempt,not sarcastic,
scary and gross - 3 disturbing consequences of a warming planet,not sarcastic,
man thinks receptionist is hitting on him,sarcastic,human receptionist thinks is hitting him
area man purchases the devil's advocate on dvd for some reason,sarcastic,area man devil 's advocate on for videodisc approximately reason
man builds rad all-terrain wheelchair that looks like a tank for war hero dad,not sarcastic,
progressive company pays both men and women 78% of what they should be earning,sarcastic,progressive company pays both and men women 78 % of what they should be take
barry jenkins quietly makes history with oscar nomination trifecta,not sarcastic,
india is home to the world's first completely solar-powered airport,not sarcastic,
billy joel has billy joel's disease,sarcastic,billy disease has Book of Joel 's joel
huntsman quietly relieved to be polling poorly among gop voters,sarcastic,huntsman quiet relieved to be polling poorly Party Republican voters
dennis miller deeply concerned about long-distance service,sarcastic,
inanimate object despised,sarcastic,object nonliving despised
heroes everywhere are signing a petition to have deadpool host 'snl',not sarcastic,
on the road to the emmys with my entourage aka my kids,not sarcastic,
fed lowers the boom on wells fargo after years of grotesque scandals,not sarcastic,
this unreleased britney spears song is all kinds of sultry,not sarcastic,
the making of them: tv documentary review (belated),not sarcastic,
men behaving badly,not sarcastic,
tuesday's morning email: ebola contracted outside of west africa,not sarcastic,
heritage foundation lowers another retired gop senator into vat of strategists,sarcastic,heritage cornerstone lower another berth retired gop senator into VAT of strategists
grieving losses other than death,not sarcastic,
"hannity claims relationship with cohen never went past payment for legal advice, defense strategy in criminal cases",sarcastic,"exact relationship with cohen never went past defrayment for criminal advice, defense scheme in legal cases"
watch rihanna steam up 'bates motel' in new preview,not sarcastic,
obama: deaths of marines in chattanooga shooting 'heartbreaking',not sarcastic,
"'these kids should be in school instead of protesting,' say people so tantalizingly close to getting the point",sarcastic,"'these kids should be in schooling say of protesting,'instead people tantalizingly to getting the point"
funniest parenting tweets: what moms and dads said on twitter this week,not sarcastic,
"a big shift is coming, and it could uber-ize entire industries",not sarcastic,
taylor swift wins video of the year for 'bad blood' at 2015 vmas,not sarcastic,
the importance of multidisciplinary eating disorders treatment,not sarcastic,
subscribing to success,not sarcastic,
"iraqi troops retake the town of nimrud, near historic ruins, from isis",not sarcastic,
