text,label,source,original_text
WOW DEMOCRATS Offer Tips On How Convince Christians Are Likely To Commit Acts Of Terrorism Muslims,0,synthetic,WOW! DEMOCRATS Offer Tips On How To Convince Friends Christians Are More Likely To Commit Acts Of Terrorism Than Muslims
Republican Mailer Threatens To Out Neighbors If They Vote Democrat,0,synthetic, Republican Mailer Threatens To Out Voters To Neighbors If They Vote Democrat
GERMANY : Afghan “ Teen ” Refugee Who and KILLED Med Student and Refugee Volunteer Is Actually 33-Years Old…And There ’ s MORE !,0,synthetic,GERMANY: Afghan “Teen” Refugee Who RAPED and KILLED Female Med Student and Refugee Volunteer Is Actually 33-Years Old…And There’s MORE!
Jared Kushner NEVER Registered To Vote As A Female ” …Media Lie BACKFIRES…Shines Bright Light On How Easily Voter Fraud Can Occur,0,synthetic,Jared Kushner NEVER Registered To Vote As A “Female”…Media Lie BACKFIRES…Shines Bright Light On How Easily Voter Fraud Can Occur
Watch Hillary ’ s Reaction When To Kick Shirtless Male Out Of Her Rally,0,synthetic, Watch Hillary’s Reaction When Security Tries To Kick Shirtless Male Supporters Out Of Her Rally
PRESIDENT Made in America : Omaha Steaks Owner “ Wanted to Kiss Me ” for Reopening Trade with China [ Video ],0,synthetic,PRESIDENT Promotes Made in America: Omaha Steaks Owner “Wanted to Kiss Me” for Reopening Trade with China [Video]
JUDGE ROY BLASTS Accuser ’ s Press With Same Lawyer Tried To Take Down Trump : “ I Don ’ t Even Know The Woman ”,0,synthetic,JUDGE ROY MOORE BLASTS Latest Accuser’s Press Conference With Same Liberal Lawyer Who Tried To Take Down Trump: “I Don’t Even Know The Woman”
Elite Nazi-allied Order From Hungary Claims Trump Sebastian Gorka Is Sworn,0,synthetic,Elite Nazi-allied Order From Hungary Claims Trump Adviser Sebastian Gorka Is Sworn Member
Aziz Ansari Just Told Trump To ‘ Go F * Himself ’ As Only He Can TWEET ),0,synthetic, Aziz Ansari Just Told Trump To ‘Go F*ck Himself’ As Only He Can (TWEET)
ALL HELL IS ABOUT TO BREAK LOOSE Between European Vigilante Group Soldiers Of Odin ” And ISIS Inspired “ Soldiers Allah ”,0,synthetic,ALL HELL IS ABOUT TO BREAK LOOSE Between European Vigilante Group “Soldiers Of Odin” And ISIS Inspired “Soldiers Of Allah”
"OBAMA BLAMES RUSSIA For Hillary ’ s Loss , But NEW HARVARD STUDY Exposes REALLY Interfered In Outcome Of Elections",0,synthetic,"OBAMA BLAMES RUSSIA For Hillary’s Loss, But NEW HARVARD STUDY Exposes Who REALLY Interfered In Outcome Of Our Elections"
