text,transformed_text,label
The majority of them are as stupid as real Negroes .,The majority of them are as stupid as the real blacks.,Hate
put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,putting the children in an orphanage and arresting a mother's whore to the point of not having more biracial children 8 children must suffer all their life because of a whore,Hate
Get one of these t-shirts for next time you see him : - Asatru Versand - Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shirt ) Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shir themd-kein-islam,Get one of these t-shirts for the next time you see it: - Asatru Versand - Kein Islam in Europa - Das Christentum ist schlimm genug (T-Shir) Kein Islam in Europa - Das Christentum ist schlimm genug (T-Shir themed-kein-Islam),Hate
I guess I would be destined for the gas chambers .,I guess I'd be destined for the gas chambers.,Hate
"Take it slow then gradual , hell make them watch MTV for a few hours it 's the same thing as animal planet. and just gradually introduce them to your views .","Take it slowly then gradually, in hell making them watch MTV for a few hours it's the same thing as the animal planet. and just little by little introduce them to your views.",Hate
I would hate to live in Dublin with all the foreigners there now .,I'd hate to live in Dublin with all the strangers.,Hate
"I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis .","I'm about to move into a larger house, and this map is perfect for a grooidal analysis.",Hate
"About the Chinese , those who remain in their own country are good , those who become illegal immigrants in white nations are bad .","About the Chinese, those who remain in their own country are good, those who become illegal immigrants in white nations are bad.",Hate
Sooner or later the black one will say `` mother * * * * er '' or `` madick '' .,"Sooner or later, the black man will say ``mother **er '' or ``madick ''.",Hate
I wonder what the shegroid that came running up did .,I wonder what the shegroid did when he ran.,Hate
I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here .,I was hoping that they would bring Ebola back and spread it to their species and to the rest of the undesirables that are not wanted here.,Hate
White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...,White children need to interact with eyebrows and other non-white children or they will be lost in the real coming time they leave home ...,Hate
This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events .... a much better target ..... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper `` as their poster for their last event .,This family who wants to complain about gays should come to San Francisco and raise a little hell to these gay pride events .... a much better target .... and these people in San Francisco openly blasphemed Christ with their parody of 'The Last Supper`` as displayed to them for their last event.,Hate
The have no concept of honour or of having respect for the feelings of others .,The lack of a concept of honor or respect for the feelings of others.,Hate
Why would you want to see this pollution spread further into our gene pool ?,Why would you want this pollution to spread further into our gene pool?,Hate
This is completely disgusting ... How can we continue to house these people who have complete contempt for us and all our laws and customs ?,It's totally disgusting... how can we continue to house those people who have total contempt for us and all our laws and customs?,Hate
These ' people ' are just scum .,These ' people ' are just a piece of shit.,Hate
There have been times when I have walked past some nigerian or skinny and they will cough with hand at their side without care for those around them .,There have been times when I spent in front of a nigerian or skinny and they will cough with their hand without taking care of those around them.,Hate
"Watch the video , its only 10 minutes , you will see that eventually the bi-racial minority is butchered .","Watch the video, its only 10 minutes, you will see that finally the biracial minority is massacred.",Hate
"We need more of our kids on the honor role and in college , crowding out the non-W 's !","We need more of our children on the role of honor and at the university, extracting non-W's!",Hate
"If this stupid brown savages would stop slaughtering animals or worshipping them ( like they do in India ) , maybe they would n't be starving and so poor .","If these stupid brown savages stopped slaughtering animals or worshiping them (as they do in India), maybe they wouldn't be hungry and so poor.",Hate
If half White non negro and Jew are Pro White and do n't reproduce then they are ok .,If half of the non-nigger whites and the Jews are Pro White and don't breed then they're okay.,Hate
Charlton Heston is rolling over in his grave knowing an ape has been elected to the white house .,Charlton Heston rides in his grave knowing that a monkey was elected to the White House.,Hate
They ca n't stand toe to toe with the white man so they just dance around until they 're tired .,They don't stand by the feet with the white man so they just dance around until they're tired.,Hate
May the wigger sister and parents be haunted by her death for the rest of their lives as it is in effect by their hands and actions that their sister and daughter was murdered by this beast .,"May the swindler's sister and parents be haunted by his death for the rest of their lives, for it is by their hands and actions that their sister and daughter were murdered by this beast.",Hate
Americans and Irish understand each other better than Spaniards and the beaners .. the US and Ireland are the 1st world so they are educated unlike the beaners .,Americans and Irish understand each other better than Spanish and Beans .. the United States and Ireland are the first world so they are educated unlike Beans .,Hate
"The negro is for White genocide , and I have nothing for the negro , not even sympathy in any way .","The Negro is for the white genocide, and I have nothing for the Negro, not even sympathy in any way.",Hate
I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,"I am white and I believe that all whites know the difference between good and evil, no matter what they say about their political positions.We are confronted with genocide as a people and the fights are just loved by non-whites.",Hate
They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',"They are cowards and simple people who are totally unable to generate a reasoned argument, free of stock phrases and frightening words like ""racist"".",Hate
It really pisses of the liberal leftist,He's really pissing from the liberal left.,Hate
Piece of * * * * deserves to be shot .,A piece of * * * deserves to be pulled.,Hate
It 'll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .,It will be a welcome change to see another WN to see hundreds of left-wing bastards go see RATM.,Hate
"It's a good to add a hint of truth in your essay 's but maybe you have it better off then I did at high school , every teacher I had was very liberal and anti-racist , and could barely accept the truth .","It's good to add a point of truth in your essay 's but maybe you have better than I did in high school, every teacher I had was very liberal and anti-racist, and could hardly accept the truth.",Hate
"Most white girls are taught and brainwashed to love black guys , only way is to properly educate them and show them what savages they truly are .","Most white girls are taught and brainwashed to love blacks, the only way is to educate them well and show them what wilds they really are.",Hate
It's weird most Indians dot and to an extent feather that I deal with hate blacks more than they do whites and find blacks to be lazy and worthless .,It's weird most Indians point and to some extent feather that I deal with hate blacks more than they do whites and find blacks to be lazy and worthless.,Hate
Most of these videos belong on the Animal Planet tv channel .,Most of these videos belong to the TV channel Animal Planet.,Hate
i am just down the road to you.welcome to the board.it breaks my heart every time i go to Galway city and see the amount of blacks there.the other week i was walking down shop street and there was a moslem standing in the street selling copies of the koran,I'm just down the road for you.Welcome to the council.He breaks my heart every time I go to Galway city and see the amount of black people there. the other week I walked into the store street and there was a moss standing on the street selling copies of the Koran,Hate
"Right now when I think of WASP 's , I think of New England liberals who have never had a taste of diversity in their life .","Right now, when I think of WASP, I'm thinking of the New England Liberals who have never had a taste for diversity in their lives.",Hate
that is absolutely * * * * ing unbelievable.they can just go route one now.no more messing about going through europe.in bongo land one minute jump on the plane and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM.i am totally depressed hearing this,"It's absolutely * * * * * , it's amazing. they can just go on the road one now. more messes across europe.in bongo earth a minute jump on the plane and 5 hours later jump off the plane with the biggest nigger smile and scream ASYLUM.i are totally depressed hearing this",Hate
Just watch them at North America and they like all black sport players and their `` slang '' .,Just look at them in North America and they love all black sports players and their 'argot'.,Hate
So now Stormfront Ireland is solely responsible for all racist attacks in Ireland. lol Ted is right this is the work of the Kikes those * * * * ers are never happy .,So now Stormfront Ireland is solely responsible for all racist attacks in Ireland. lol Ted is right it is the work of the Kikes these * * * * * people are never happy.,Hate
"The whites and the asians evoluated , and the blacks are still behind .","Whites and advanced Asians, and blacks are still behind.",Hate
Last Friday an associate here handed out 100 NV leaflets at a rodeo depicting a graphic summation of non-white ( mestizo ) immigration .,"Last Friday, a partner here distributed 100 NV leaflets to a rodeo representing a graphic summary of non-white immigration (mestizo ) .",Hate
"Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines YouTube - Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines Listen/watch the full interview @ Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines : Free Download & Streaming : Internet Archive www.DrDay.com www.GoodNewsAboutGod.com","Deanna Spingola and Dr. Lorraine Day - Zionism, Holocaust, AIDS and Vaccines YouTube - Deanna Spingola and Dr. Lorraine Day - Zionism, Holocaust, AIDS and Vaccines Listen/View full interview @ Deanna Spingola and Dr. Lorraine Day - Zionism, Holocaust, AIDS and Vaccines: Free download and streaming: Archives Internet www.DrDay.com www.GoodNewsAbout God.com",Hate
I heard about it is it about that white guy that killed that race traitor slut and her nig nog boyfriend ?,I heard about that white guy who killed that race trail and his nig nog boyfriend?,Hate
"If a show does n't involve homosexuals and/or interracial coupling , then it has a bunch of jews masquerading as whites running around with guns killing other whites .","If a show does not involve homosexuals and/or interracial coupling, then it has a bunch of Jews masking like whites running around with weapons killing other whites.",Hate
i love it when jews get a taste of thier own vile medicene I hope each and every one of them young to old starve in the cold,"I love it when the Jews have a taste of vile medicene, I hope that each one of them will be young to starve in the cold",Hate
They are culturally raping european countries in every way .,They culturally violate European countries in every way.,Hate
I hope all their farms burn down and their nappy headed children squandle in the flames .,I hope that all their farms burn and their children head of shuandle tablecloth in the flames.,Hate
