text,transformed_text,label
"emergency responders working to dislodge commercial jet from thick, polluted cloud over new delhi",emergency responders working to dislodge the commercial jet from a thick and polluted cloud on the new delhi,sarcasm
vending machine most up-to-date technology in school,Most up-to-date vending machine technology at school,sarcasm
new energy secretary guesses he ought to read up on energy,The new Secretary of Energy guesses that he should read about energy,sarcasm
horde of orange monsters exits local tanning salon,horde of orange monsters comes out local tanning salon,sarcasm
isis struggling to narrow down gop debate sound bites for new recruitment video,is struggling to reduce the debate of loud-mouthed gop for a new recruitment video,sarcasm
console wars heat up as zenith unveils gamespace pro,console wars warm up that zenith unveils gamespace pro,sarcasm
ryan lochte now changing account of events going back years before robbery,ryan lochte now changes account of events dating back years before the flight,sarcasm
idea to see mario van peebles movie occurs to no one,idea to see mario van peebles film happens to no one,sarcasm
antifa organizers announce plans to disrupt neo-nazi rally or whatever else going on that day,antifa organizers announce plans to disrupt the neo-Nazi rally or anything else that day,sarcasm
kamikaze swimmers finally reach pearl harbor,the kamikaze swimmers finally reach the port of pearls,sarcasm
new pepsi product specifically mentions target demographic in name,new product pepsi specifically mentions the demographic target in name,sarcasm
consumer confidence verging on cockiness,consumer confidence in liveliness,sarcasm
frustrated employee no longer even trying to hide gre study books,frustrated employee no longer even try to hide the study books gre,sarcasm
mcdonald's prints calorie count right onto meat,Mcdonald prints count calories directly on meat,sarcasm
area woman has more than 200 products to help calm her,women's region has more than 200 products to help calm down,sarcasm
man surprised to hear himself tell matt damon he's a 'big fan',the man surprised to hear him tell Matt Damon that he's a big fan,sarcasm
world gets first-ever look inside greenspan fantasy ranch,world gets first look inside greenspan fantasy ranch,sarcasm
nation to wait for more facts on texas shooting before doing absolutely nothing about it,nation to wait for more facts about the shooting of texas before doing absolutely nothing about it,sarcasm
grocery-store worker can't bear to eat food anymore,The grocery worker can no longer bear to eat food.,sarcasm
gym teacher still remembers names of every former pantywaist,gym teacher still remembers the names of each former pantywaist,sarcasm
mom learns about new vegetable,Mom gets to know the new vegetables,sarcasm
pigeon's route accommodated,the route of the arranged pigeon,sarcasm
car salesman three desks over going on and on about chick he banged last night,car salesman three offices in progress and on the girl he fucked last night,sarcasm
magazine runs article about louis c.k.,The magazine publishes an article on Luis c.k.,sarcasm
woman thinks she would make a great talk-show host,woman thinks she'd make a great talk show host,sarcasm
food critic's wife makes the best lasagna she possibly can,The woman of the food critic makes the best lasagna possible,sarcasm
dad delivers state of the union rebuttal directly into television screen,Papa delivers the state of trade union refutation directly into the television screen,sarcasm
"god almost forgot to kill dave elfman of boulder, co today","God almost forgot to kill Dave Elfman from rock, co today",sarcasm
study finds leading cause of depression hearing words '2016 frontrunners',the study finds the main cause of the depression hearing words '2016 frontrunners',sarcasm
mcdonald's birthday party to be happiest time in child's life,The mcdonald birthday party to be the happiest moment in the child's life,sarcasm
baseball slugger on pace to hit 60 women,Baseball ball on rhythm to hit 60 women,sarcasm
new envelope pushes envelope envelope,A new envelope pushes the envelope,sarcasm
india holds 5k stampede for charity,India holds 5k Stampe for charity,sarcasm
man trying to get out of executioner duty,man trying to get out of the executioner's duty,sarcasm
