text,emotion,transformed_text
i listen when he tells me he has an ominous feeling but i ignored him this time because i so wanted to see what was down the trail,sadness,
i would estimate that when i speak nepali i feel about as intelligent as when i speak english with german i feel about as intelligent and with spanish i feel about as intelligent,joy,
ill likely post more on those later but feel free to ask if you have questions,joy,
im not feeling well lets just enjoy some pictures taken from the field trip,joy,
i would accept your gift without feeling mad,anger,
i can say is that i feel like myself when i put on a skirt heels and lipstick and when i wear clothing which has come to be accepted as neutral and nondescript like a t shirt and jeans i dont feel like myself,love,
i want to come out about it but i feel so reluctant for some reason,fear,
i know i ll never commit incest but why it feels so much charming,joy,
i can say is that as long as you enjoy the story it entertains you and makes you feel emotional whether it be sad happy angry disgusted or just plain horny then who really gives a damn,sadness,
i am tired of feeling useless tired of feeling uninteresting nor funny nor smart nor beautiful nor important,sadness,
i feel it is unfortunate that i have had to take these drastic measures and post this notice as i truly loved posting my new work to flickr and interacting with new people from all over the world,sadness,
i feel tortured by this thought but it feels so true,fear,
i wake up every morning excited about breakfast rather than feeling like i cant be bothered,anger,
i wanted to take this opportunity to express the way i feel about myself the blog and your lovely selfs of course,love,
i feel like i was abused raped defiled,sadness,
i read through the ol feefyefo space i feel amazed at how much i could blabber and how transparent i was with my life,surprise,i read through the ol feefyefo outer space i feel amazed at how much 1 could blabber and how lucid i live with my life
i feel weird,surprise,one feel weird
i feel agitated and the result is not pleasant the opposite of calm and peaceful,anger,
i feel welcomed and loved,joy,
i feel really wimpy saying it but,fear,
i feel totally completely accepted and loved while my heavenly abba was pointing out sin in my life,love,
i feel like im worthless,sadness,
i cant decide how i feel about some of the supporting roles particularly the girlfriend and alfred molina both quite funny but were they one dimensional caricatures or legitimate characters simply overshadowed by a fantastic lead,love,
ive been feeling very mellow this evening,joy,
i feel strange with it because it started to be sale,surprise,
im slow about this but it does feel weird returning to a home without your mum anymore,fear,
i cant help feeling mad at this man,anger,
i feel at leaving work is hot and complicated and tempered with the disquiet of a future that feels out of my hands,love,
im feeling pretty contented too having an instructor to assist me with higher level math again for a while is very helpful,joy,
a certain friend tried to push me off a seat in a very violent way for no apparent reason it may be that he was excited about something,anger,
i feel like im craving it and then no matter what i order i just really am not that impressed,surprise,one feel like im craving IT and and then no matter what i monastic order unity just really am not that impressed
i stumble upon such a finding i feel quite excited almost like having accomplished a discovery,joy,
i don t know i just had this gut feeling and it just really bothered me he said,anger,
i feel accepted welcomed,love,
i can only feel sorry for us that the relationship didnt work out,sadness,
i wish i didnt feel this afraid to talk to new people,fear,
i feel that the most talented of illustrators designers are ones that know how to get an idea across without the trappings of crosshatching and lensflares on everything,joy,
i didnt end up with that popular guy before the feeling i had when i was rejected its like a break up what i thought during that time la,sadness,
i feel really lucky to be part of what looks like an active and friendly homeschooling group here in dubai,joy,
i feel like more people should be brave enough to speak up against the non standards of the self publishing market because all the authors i know work so damn hard and they deserve better,joy,
i always thought that if i contracted something from one of those people and passed it on to him that i d feel awful but after i got the sti test i thought i was basically in the clear,sadness,
i need to step up my game but im just feeling like i cant be bothered,anger,
i have to admit i was feeling pretty horny nicole,love,
i love and captured an atmospheric feeling in their landscapes that really impressed me,surprise,
im feeling generous heres a holiday classic for you iframe allowfullscreen frameborder height src http www,love,
i feel so damn curious with what this blond doctor plan to do this night,surprise,
i don t even think that i should feel ashamed because then i would be denying my true self,sadness,
i feel funny inside is that a reference to the circus going on in his underpants,surprise,iodin feel funny inside is that a reference to the Circus going on In his underpants
i just feel very dull right now,sadness,
i closed my eyes tightly and covered my ears and thank god i woke up before i apologize for the brutality of my nightmare it left me feeling shaken and nauseous to say the least,fear,
i want to know feelings i never felt before but will i ever experience your gentle touch again,love,
im trying to wein off them with doctors guidance of course but if i miss a day i feel agitated about everything,fear,
im feeling abit grouchy with kim,anger,
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy,
im strictly on coke and jo still feeling a tad delicate after last nights bucket of doom anaesthetic,love,
i feel accepted because of my condition,love,
i had a fab christmas and an amazing new year with my family and friends and against all odds i feel very optimistic about,joy,
i feel sorry for writers because even drecky writers can pay to have a pretty good cover done for them,sadness,
i struggle to lick my lips and at least ease some of the dry cracked feeling but end up just getting an unwelcome taste of the mask tied over my face,sadness,
i feel unimportant so inadequate,sadness,
i wish that i d feel as dignified in my homeland as i do in every other country,joy,
i feel that im most amazed still by silent knight which is an instrumental song ala hizaki,surprise,i feel that im most amazed still by understood dub which is an implemental song ala hizaki
i feel a little bit more nostalgic when those memories come to mind,love,
im feeling a bit less anxious about it all now and im actually starting to look forward to the challenge of the big event,fear,
i feel tortured a href http lawrencewashington,anger,
i feel surprised when i looked new,surprise,
i feel honestly sorry for you,sadness,
ive also discovered that because i feel less agitated by caffeine and cravings this coping method is unnecessary huge,fear,
i got inside it was so warm compared to the outside temp that my survivor man skills kicked in and i stripped down to my base layers to avoid feeling cold when i got back outside,anger,
i find myself feeling so lost and desperate because of the things that happen every day but being a human of course i have times where i just cannot be comforted,sadness,
i have been given appointments with oncologists and radiologists per protocol following breast cancer surgery i have to admit that i feel strange,fear,
i know that i am even more unworthy to facilitate your children and i feel truly anguished that my interference with your work has stunted damaged or destroyed the promise once instilled by your spirit in to them,sadness,
i wish i would feel blessed all the time and remember what i do have but for some reason it wears on me all the time and so i need that reminder through the year,love,
i am very sad you feel distracted but i am not participating in the relationship you think we have,anger,
i feel giggly,joy,
i get involved into a tale of good versus evil i want to feel afraid of the dark to a certain extent,fear,
i really feel like he will never love me he will never be affectionate because he doesnt love me,love,
im not feeling insecure this month im feeling full of oomph,fear,
i have a feeling its the kind of thing logan would have admired and hes the last person on earth would have ever betrayed that trust,love,
i know what it feels like to legitemately liked by someone that somehow got me to feel the same way which trust me takes alot i want that in my life,love,
i feel very reluctant to have to walk through,fear,
i dont know where and when i can feel the thrill and im scared that im going to miss it,fear,
i feel that i really need to let her know that i am still thinking of her and caring for her intense or not why not keep calling plus there is sms and im like any relationship communication is the key to keeping it alive best wishes,love,
i walked away from her i was left feeling slightly crappy about my life she s one of those women who ll subtly put you down put your children down too given half the chance,sadness,
i wasn t feeling hot i knew that i needed to cool my body temperature and drink more fluids,love,
i am raising funds for the jag foundation jointly achieving growth a charity that i feel extremely passionate about,love,
i can drop a great deal of paratroopers on the table at once should i feel the need to do so or conduct other useful air missions,joy,
i feel many petty people have judged me simply because i may be one,anger,
i feel sometimes more joyful after i have read scriptures or prayed after i have done those things than while i am doing those things,joy,
i had to have something to give the katy and the danny and of course they stalk my blog and of course i couldnt leave erica feeling unloved,sadness,
i have moments where i just feel so overwhelmed that my eyes well up with tears,fear,
i don t feel rejected although i admit that i used to,sadness,
i should not feel afraid we can stop shoulding all over ourselves,fear,
i was feeling like a pretty crappy mom,sadness,
i feel highly disadvantaged,sadness,
i have studied logic and ethics and i know with certainty that the motivation of feeling superior is not an excuse for judgement finger pointing and its eventual consequence hatred and in this case homophobia,joy,
i begin to feel terribly rude and that causes me to become depressed,anger,
im feeling is funny because its totally unnecessary,surprise,im feeling is funny because IT totally unneeded
i feel more terrified than the customers will be in my maze,fear,
i can stop feeling jealous,anger,
i feel like ive got the content down i print my work and read it through,joy,
im feeling really quite angry,anger,
i am feeling convinced by the argument extended once by bal thackerey of not allowing pakistan to play on indian soil till they show by thought action and creed that they really want friendly relations with india,joy,
