speech,detection,transformed_speech
"I too am from cali , but moved out to utah to get away from all the filth .",Hate,
The youth is not a internet thing .,no hate,
"Show your support for Golden Dawn and sign the petition , https : //secure.avaaz.org/en/petition ... _ free _ country/",no hate,
"The scene is anchored right and left by two bright stars , Mu and Eta Geminorum , at the foot of the celestial twin while the Jellyfish Nebula is the brighter arcing ridge of emission with dangling tentacles below and right of center .",no hate,
"Actually , I was responding to a Swiss person whose message is close to the beginning of the thread .",no hate,
"Thank you for posting this ! this disgusting lie will hopefully one day be addressed and corrected , at that point I would hope the world will see the Jews for what they really are .",Hate,"posting you for Thank this! this disgusting point hopefully one corrected be addressed and day, At that lie iodine would hope the world will see the Jews for what they really are."
Who said we invented literally EVERYTHING useful ?,no hate,
"Cool, finally got it working just in time to hear someone call in and let the host know that thanks to Stormfront , the show is being listened to all over the world .",no hate,
"Shoe Bombers , crotch bombers , 9/11 and Israel has now been seen over 203,000 times ( in less than 2.5 months ) .",no hate,
:stupid The liberals and communists of all shades can relax and take it easy .,no hate,
I moved here so I 'm not `` out of the wood work '' .,no hate,
Let 's try it again .,no hate,
We might as well just abandon the land because people invaded the land and took it from the animals .,no hate,
Those are the ones that I respect .,no hate,
Unit14canada@gmail.com,no hate,
She is white .,no hate,
I know what gypises look like in the easten Europe i seen many of them in Lviv Ukraine begging for my food .,no hate,
"They have n't gone to wearing their Fred Perry , boots and braces yet though ......",no hate,
The concept of carrying thousands of varmit rounds to enable spray and pray in battle is a post Korean War concept .,no hate,
"The `` Dragonball Z '' hairstyle is all the rage amongst the 12-14 yr old boys , too .",no hate,
Idiots are in every country And I do n't said that all Croats are idiots .,no hate,
"Please, put a link to follow the results as long as the count of votes begin !",no hate,
The Rest Of The Story,no hate,
Note!,no hate,
I sent in my application a few days ago and was curious .,no hate,
Tell us more about yourself .,no hate,
BLACK Man MURDERS 15 Year Old WHITE GIRL In Her BEDROOM - YouTube ZAKESHIA CAUGHT IT ON TAPE - YouTube Young white girl killed by black man she met online - YouTube http://www.youtube.com/watch ? v = fQPaZvlq4xQ & feature = endscreen & NR = 1 Ashley Taylor talks of being attacked on live TV - YouTube,no hate,
"I'm fat , and have two cats .",no hate,
It looks like our friend Krekar will be winning lots of votes for anti-immigrant parties in Norway 's upcoming election .,no hate,
I like this man 's anger and resoluteness.Colud anyone tell where to take the whole footage ?,no hate,
"Yes, I edited out your personal info , as you should only give that out to those who can be trusted .",no hate,
And the contributions of whites are everywhere .,no hate,
Wait when did he single you out and call you a racist do you know him or have talk to him in person ?,no hate,
"Well of course not , hell , my glock 40 9mils can hit a penny at a mile if I hold ' em sideways !",no hate,
"Lots run about $ 500 , houses about $ 3000 .",no hate,
I 've seen this happen many times on this site during my lurking days .,no hate,
Thanks for all the great replies its very helpful .,no hate,
"Yes true It reminds me of this incident Muslim Extremists Abuse Royal Anglian Troops After Afghanistan Return , Barking - London 2010 - YouTube",no hate,
I think that it is fair to say that the National Alliance is a secular organization that has taken a specific stance against multicultural Christianity for political reasons and has also had prominent members who have promoted non-Christian religions or spiritual paths .,no hate,
The fact Whites stood by while he was being attacked by a group of Mestizos is far more disturbing than the attack itself .,no hate,
I eventually came to the conclusion that jews behave more like a criminal syndicate than any respectable religion .,Hate,I that came to the finally jews conduct Thomas More like group A criminal syndicate than any respectable religion.
Where do you see a hook nose ?,no hate,
There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc For a start teach our women to respect themselves .,Hate,there exist game we getting end do to bar the rapes that occur blacks and other non whites things white cleaning women and girls tail inward with them etc For a teach our woman to respect themselves.
Im on youtube trying to find it right now .,no hate,
I 've taught her to question everything that they teach her .,no hate,
I will find some way to get hold of this speech and make it public .,no hate,
Or just say as You remember it and I 'll say if it 's correct .,no hate,
They are way over represented compared to their ability .,no hate,
Wasn't that when Steve and Bean got their heads cracked opened ?,no hate,
Spent the night in a hotel in SLC as a matter of fact .,no hate,
Ive got nothing against it but i prefer one .,no hate,
Their nonwhite societies are failing in every area and yet they are trying to force White civilization to accept their backward nonwhite culture .,Hate,nonwhite societies are break down every area and yet they are trying to thrust to civilization culture accept their rearward nonwhite White.
It is the spiritual awakening as I says stupid !,no hate,
"Clast, good luck in your search !",no hate,
Americans and Irish understand each other better than Spaniards and the beaners .. the US and Ireland are the 1st world so they are educated unlike the beaners .,Hate,American better and Irish whisky understand each early language than the and Spaniards the US and Ireland ar the 1st creation so they are educated unlike the beaners
Is it a competition on TV to get the most alien looking black and to put them with a white woman ?,no hate,
Equals to white and future ally .,no hate,
A good old bit of nostalgia from the days when there was hardly a blade of grass or a coon on the pitch .,Hate,group trade A good honest-to-god bit of nostalgia theatre the day when was hardly ampere blade of grass operating from a coon the pitch.
I guess I would be destined for the gas chambers .,Hate,I I atomic number chambers designate for the gas 4.
I plan to add a few more books today as well,no hate,
Did anyone else see that Guinness Black Lager commercial ?,no hate,
