speech,label
"I too am from cali , but moved out to utah to get away from all the filth .",1
The youth is not a internet thing .,0
"Show your support for Golden Dawn and sign the petition , https : //secure.avaaz.org/en/petition ... _ free _ country/",0
"The scene is anchored right and left by two bright stars , Mu and Eta Geminorum , at the foot of the celestial twin while the Jellyfish Nebula is the brighter arcing ridge of emission with dangling tentacles below and right of center .",0
"Actually , I was responding to a Swiss person whose message is close to the beginning of the thread .",0
"Thank you for posting this ! this disgusting lie will hopefully one day be addressed and corrected , at that point I would hope the world will see the Jews for what they really are .",1
Who said we invented literally EVERYTHING useful ?,0
"Cool, finally got it working just in time to hear someone call in and let the host know that thanks to Stormfront , the show is being listened to all over the world .",0
"Shoe Bombers , crotch bombers , 9/11 and Israel has now been seen over 203,000 times ( in less than 2.5 months ) .",0
:stupid The liberals and communists of all shades can relax and take it easy .,0
I moved here so I 'm not `` out of the wood work '' .,0
Let 's try it again .,0
We might as well just abandon the land because people invaded the land and took it from the animals .,0
Those are the ones that I respect .,0
Unit14canada@gmail.com,0
She is white .,0
I know what gypises look like in the easten Europe i seen many of them in Lviv Ukraine begging for my food .,0
"They have n't gone to wearing their Fred Perry , boots and braces yet though ......",0
The concept of carrying thousands of varmit rounds to enable spray and pray in battle is a post Korean War concept .,0
"The `` Dragonball Z '' hairstyle is all the rage amongst the 12-14 yr old boys , too .",0
Idiots are in every country And I do n't said that all Croats are idiots .,0
"Please, put a link to follow the results as long as the count of votes begin !",0
The Rest Of The Story,0
Note!,0
I sent in my application a few days ago and was curious .,0
Tell us more about yourself .,0
BLACK Man MURDERS 15 Year Old WHITE GIRL In Her BEDROOM - YouTube ZAKESHIA CAUGHT IT ON TAPE - YouTube Young white girl killed by black man she met online - YouTube http://www.youtube.com/watch ? v = fQPaZvlq4xQ & feature = endscreen & NR = 1 Ashley Taylor talks of being attacked on live TV - YouTube,0
"I'm fat , and have two cats .",0
It looks like our friend Krekar will be winning lots of votes for anti-immigrant parties in Norway 's upcoming election .,0
I like this man 's anger and resoluteness.Colud anyone tell where to take the whole footage ?,0
"Yes, I edited out your personal info , as you should only give that out to those who can be trusted .",0
And the contributions of whites are everywhere .,0
Wait when did he single you out and call you a racist do you know him or have talk to him in person ?,0
"Well of course not , hell , my glock 40 9mils can hit a penny at a mile if I hold ' em sideways !",0
"Lots run about $ 500 , houses about $ 3000 .",0
I 've seen this happen many times on this site during my lurking days .,0
Thanks for all the great replies its very helpful .,0
"Yes true It reminds me of this incident Muslim Extremists Abuse Royal Anglian Troops After Afghanistan Return , Barking - London 2010 - YouTube",0
I think that it is fair to say that the National Alliance is a secular organization that has taken a specific stance against multicultural Christianity for political reasons and has also had prominent members who have promoted non-Christian religions or spiritual paths .,0
The fact Whites stood by while he was being attacked by a group of Mestizos is far more disturbing than the attack itself .,0
