text,label,source,original_text
The legal age of them are as stupid as real Negroes .,1,synthetic,The majority of them are as stupid as real Negroes .
put the fry In adenine ophanage and arrest the whore of a mother to angstrom unit full point of non having more biracial kid 8 banter have to suffer all their dwell to due a the street,1,synthetic,put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore
acquire one these tee shirt for next time you see him : - - Kein Mohammedanism in Europa - DA Christentum schlimm genug ( tee shirt ) Islam in Europa - hyrax Christentum ist schlimm ( themd-kein-islam,1,synthetic,Get one of these t-shirts for next time you see him : - Asatru Versand - Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shirt ) Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shir themd-kein-islam
I guess I would live bound for the chambers .,1,synthetic,I guess I would be destined for the gas chambers .
Take it slowly then gradual hell pretend them spotter MTV for angstrom few it 's the matter animal planet . and just gradually introduce them to your views .,1,synthetic,"Take it slow then gradual , hell make them watch MTV for a few hours it 's the same thing as animal planet. and just gradually introduce them to your views ."
I would hate to last in Dublin with all the outsider there .,1,synthetic,I would hate to live in Dublin with all the foreigners there now .
"I 'm moving a liberal house pretty shortly , that mapping is hone for doing groidal analysis .",1,synthetic,"I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis ."
"About the Chinese , those Organization remain Hoosier State their own country are serious , those who become illegal immigrants in Elwyn Brooks White nations are regretful .",1,synthetic,"About the Chinese , those who remain in their own country are good , those who become illegal immigrants in white nations are bad ."
Sooner operating room afterwards the black one bequeath `` mother * * * er `` or `` madick `` .,1,synthetic,Sooner or later the black one will say `` mother * * * * er '' or `` madick '' .
I wonder what the that come in ply up .,1,synthetic,I wonder what the shegroid that came running up did .
I was sort of go that they bequeath convey back Ebola and spread it around to their genial and the rest of the undesirables World Health Organization are not wanted Here .,1,synthetic,I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here .
White Kyd postulate to interact with kneegrows and other non or they 'll be lost in the real fall the time they forget home,1,synthetic,White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...
family that wants to complain about homophile should come to San Francisco and raise some perdition these gay pride consequence .... a much better target ..... and these people in Francisco openly blasphemied Christ with parody of ' The close Supper `` As their poster for their last event .,1,synthetic,This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events .... a much better target ..... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper `` as their poster for their last event .
suffer no concept of abide by or of have respect for the feelings of others,1,synthetic,The have no concept of honour or of having respect for the feelings of others .
Why would you deficiency to see this pollution spread head promote into our gene pool ?,1,synthetic,Why would you want to see this pollution spread further into our gene pool ?
This is completely disgusting ... How can we continue sign of the zodiac these people who have concluded despite for us and our laws usage ?,1,synthetic,This is completely disgusting ... How can we continue to house these people who have complete contempt for us and all our laws and customs ?
These ' people ' live just .,1,synthetic,These ' people ' are just scum .
There have represent times when I have walk past some nigerian or skinny and they leave cough with pass at their side without worry for those roughly them .,1,synthetic,There have been times when I have walked past some nigerian or skinny and they will cough with hand at their side without care for those around them .
"Watch the video , its only tenner minutes , you will catch that finally the bi-racial nonage is butcher .",1,synthetic,"Watch the video , its only 10 minutes , you will see that eventually the bi-racial minority is butchered ."
"We need Thomas More our fry on the role and in college , crowd together out the non-W 's",1,synthetic,"We need more of our kids on the honor role and in college , crowding out the non-W 's !"
"If this dazed brown savages would stop slaughter animals or worshipping them ( like they do India ) , mayhap they would n't be starving and sol poor .",1,synthetic,"If this stupid brown savages would stop slaughtering animals or worshipping them ( like they do in India ) , maybe they would n't be starving and so poor ."
If half White not negro and Jew comprise professional White and do reproduce then they follow ok .,1,synthetic,If half White non negro and Jew are Pro White and do n't reproduce then they are ok .
Charlton Heston is roam over his grave an ape has been elect to the white house .,1,synthetic,Charlton Heston is rolling over in his grave knowing an ape has been elected to the white house .
They atomic number 20 n't pedestal toe to toe with the white man so they terpsichore around they tired .,1,synthetic,They ca n't stand toe to toe with the white man so they just dance around until they 're tired .
May the wigger sister and bring up haunt aside her death for rest of their lives as it is effect their hands actions their sister and daughter cost murdered by this beast .,1,synthetic,May the wigger sister and parents be haunted by her death for the rest of their lives as it is in effect by their hands and actions that their sister and daughter was murdered by this beast .
American and Irish people understand each early better than Spaniards and .. the US and Ireland make up the 1st man so they are educated unlike beaners .,1,synthetic,Americans and Irish understand each other better than Spaniards and the beaners .. the US and Ireland are the 1st world so they are educated unlike the beaners .
"negro is White racial extermination , and have nothing for the negro , not even sympathy in any direction .",1,synthetic,"The negro is for White genocide , and I have nothing for the negro , not even sympathy in any way ."
americium White and I believe all White people cognize the difference 'tween correctly and wrong no matter what they enunciate about their political positions.We are facing genocide as a people the infighting follow merely loved past non Whites .,1,synthetic,I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .
`` They 're Noel Coward and who are dead incapable of generating a conclude argument free of sententiously repeated stockpile phrases and scare-words `` antiblack .,1,synthetic,They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . ''
It really pisses of the liberal left-wing,1,synthetic,It really pisses of the liberal leftist
Piece of * * * * deserves to be shot .,1,synthetic,Piece of * * * * deserves to be shot .
It 'll be a receive change to find adenine confrere WN hundreds of lefty bastards going to see RATM,1,synthetic,It 'll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .
"It 's a good to add ampere of in your essay but mayhap you have information better off then i practise at high school , every teacher I had represent very liberalist anti-racist , barely accept the truth .",1,synthetic,"It's a good to add a hint of truth in your essay 's but maybe you have it better off then I did at high school , every teacher I had was very liberal and anti-racist , and could barely accept the truth ."
"Most girls teach and brainwashed to guys , only is to properly civilise them and show what savages they truly constitute .",1,synthetic,"Most white girls are taught and brainwashed to love black guys , only way is to properly educate them and show them what savages they truly are ."
It 's weird most Indians dot to AN extent plume that I deal hate Black person more than they practice Elwyn White and find to be lazy and despicable .,1,synthetic,It's weird most Indians dot and to an extent feather that I deal with hate blacks more than they do whites and find blacks to be lazy and worthless .
of these videos belong along the Animal Planet channel,1,synthetic,Most of these videos belong on the Animal Planet tv channel .
atomic number 53 am just down the road to you.welcome to the board.it breaks heart every time go to Galway city and see the amount of blacks there.the early week i was walking down store street and there was a moslem standing in the street marketing transcript of the koran,1,synthetic,i am just down the road to you.welcome to the board.it breaks my heart every time i go to Galway city and see the amount of blacks there.the other week i was walking down shop street and there was a moslem standing in the street selling copies of the koran
"Right today when ane think of white Anglo-Saxon Protestant 's , I think of New England liberals who have had a taste of diversity in their sprightliness .",1,synthetic,"Right now when I think of WASP 's , I think of New England liberals who have never had a taste of diversity in their life ."
that equal absolutely * * * ing stern exactly die route one now.no than messing nigh going through europe.in Tragelaphus eurycerus land one arcminute along the plane and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM.i Master of Arts wholly dispirit hearing this,1,synthetic,that is absolutely * * * * ing unbelievable.they can just go route one now.no more messing about going through europe.in bongo land one minute jump on the plane and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM.i am totally depressed hearing this
Just watch them at North America they the likes of all ignominious sport actor their `` slang `` .,1,synthetic,Just watch them at North America and they like all black sport players and their `` slang '' .
Ted is right this is the mould of the Kikes those * * * * ers are ne'er happy So forthwith Stormfront Ireland is exclusively responsible for whole racist attacks in Ireland .,1,synthetic,So now Stormfront Ireland is solely responsible for all racist attacks in Ireland. lol Ted is right this is the work of the Kikes those * * * * ers are never happy .
"The and the asians evoluated , and the Joseph Black behind .",1,synthetic,"The whites and the asians evoluated , and the blacks are still behind ."
utmost Fri an associate here handed come out 100 Nevada leaflets at a picture a graphic sum total of non-white ( mestizo ) immigration .,1,synthetic,Last Friday an associate here handed out 100 NV leaflets at a rodeo depicting a graphic summation of non-white ( mestizo ) immigration .
"Deanna Spingola and Dr. Lorraine Day - Zionist movement , the Holocaust Aids and Vaccines YouTube - Deanna Spingola and physician Lothringen - Zionism , the Holocaust , Aids and Vaccines Listen/watch the full question @ Deanna Spingola and Dr. Lorraine - Zionist movement , the Holocaust Aids and Vaccines : destitute download Streaming : cyberspace Archive www.DrDay.com www.GoodNewsAboutGod.com",1,synthetic,"Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines YouTube - Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines Listen/watch the full interview @ Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines : Free Download & Streaming : Internet Archive www.DrDay.com www.GoodNewsAboutGod.com"
