article,label
Three suspected al Qaeda militants killed in Yemen drone strike,1
BOOM! Black Activist Calls Black CA State Senator “Racist” For Supporting Mass Immigration: “A real man is Donald Trump”,0
" Alex Jones POSITIVE Obama Killed Scalia, And You’ll Never Believe Who He Thinks Is Next (VIDEO)",0
FBI AND CIA Host Job Fair In U.S. City With 40% MUSLIM Population…Feeling Safer Yet?,0
[VIDEO] CARLY TAKES ON THE VIEW Hacks Only Days After Saying She Has A “Demented Face” And A “Halloween Mask”,0
Santorum to pull out of Republican White House race: CNN,1
 New Expose Details Just How Terrible Donald Trump REALLY Is With Women,0
" Adele Brings Whole Crowd Together To Dedicate Song To Brussels, And It’s Breathtaking (VIDEO)",0
 GOP Anti-Trumpers Have A Hail Mary Idea To Stop Trump That Just Might Work,0
"LIBERAL Lansing, MI Mayor Forced To REMOVE “Sanctuary City” Status After MI Residents Hammer Him For Arrogant Announcement On Tucker Carlson [VIDEO]",0
"WRONG COLOR: If Left Really Cared About Police Brutality, They’d Be Protesting Death Of White 6 Yr Old Autistic Boy Whose Dad Was Unarmed With “Hands Up” [VIDEO]",0
STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,0
“STOP BLAMING WHITE PEOPLE For Trump’s Win Last Night…America Voted For Actual Change” [VIDEO],0
Candidate Handel’s Excellent Response to Alexandria Shooter Calling Her A ‘Republican B**ch’,0
 Jan Brewer: There Were Birther Democrats ‘All Over The Country’ (VIDEO),0
NBC MANAGEMENT “Protected The Sh*t Out of Him”: Details of Married Matt Lauer’s Disgusting Acts Of Sexual Harassment Are REVEALED After Democrat Fan Boy Is Fired,0
FLASHBACK 2015: ANTI-GUN OBSESSED White House Gives Tips On How To Talk About “Gun Control” At Thanksgiving [VIDEO],0
" ‘Tehran’ Tom Cotton Insults U.S. Troops, Tries To Spark War With Iran In Disgraceful Interview (VIDEO)",0
 Heroin Addict Trump Voter Sad Now That Donald Is Taking Away His Treatments (VIDEO),0
RARE BEHIND THE SCENES LOOK: President Trump Visits Netanyahu Family…“I’m a Big League fan of both of you.” [Video],0
 GOP Governor Calls Blacks “Colored People” (VIDEO),0
 These Hilarious Donald Trump Impressions Prove That Other Candidates Hate Him Just As Much As We Do (VIDEOS),0
 Senate Democrats FORCE GOP To Reveal How They’ll F*CK Americans Over During Midnight Vote,0
ICELAND PROUDLY CLAIMS TO HAVE “ERADICATED” Down Syndrome…In Most Gruesome Way Imaginable,0
 Saturday Night Live Takes On GOP Cowardice In Stunningly Accurate Faux Movie Trailer (VIDEO),0
