article,truthfulness
OBAMA Is GIVING YOUR Money To Illegal Aliens To Start Businesses…You Won’t Believe Where Those Businesses Are Located [VIDEO],fake
"Bangladesh, Myanmar agree on 'working group' for refugee plan: minister",real
"Trump, China's Xi to meet April 6-7 in Florida: source",real
Trump says his comments on Mexican-American judge misconstrued,real
"Trump meets insurers, promises catastrophic year for Obamacare",real
 WATCH: Anderson Cooper Throws MAJOR Shade At White House Aide Over ‘Fake News’,fake
U.S. gives Laos extra $90 million to help clear unexploded ordnance,real
Trump calls for worldwide action against North Korea nuclear threat,real
Islamic State defeated in its Syrian capital Raqqa,real
House Committee requests EpiPen documents from Mylan,real
Putin dismisses U.S. hacking allegations as campaign rhetoric,real
U.S. says it will take steps after Cambodia's dissolves opposition party,real
Trump Interior nominee would consider more drilling on federal land,real
Islamic State claims responsibility for attack southeast of Baghdad: Amaq,real
Clinton slams student loan servicer Navient as misleading,real
Croatia jails Serb paramilitary commander for war crimes,real
Son of Russian lawmaker sentenced in U.S. for role in cyber crime ring,real
"Biden, not mentioning Trump, defends free press, independent judiciary",real
Germany's figurehead president now best hope of unlocking political crisis,real
Republican senator says Trump yet to demonstrate needed stability,real
U.S. condemns threat to ban Venezuela opposition from elections,real
"Factbox: Trump to meet with Huckabee, Romney, others this weekend",real
Senate panel approves measure to broaden North Korea sanctions,real
South African security agency files legal complaint against Zuma author,real
Syrian opposition: Russia conference aims to rehabilitate Assad,real
"Trump, Cruz tensions may provide liveliest Republican debate yet",real
"Once a self-funder, Trump's new fundraising machine ramps up",real
Trump to nominate Rod Rosenstein to be deputy U.S. attorney general,real
Zimbabwe war vets to launch court case to legalize military action to oust Mugabe,real
Anti-Mugabe pastor acquitted in Zimbabwe of public violence charges,real
Factbox: Trump finishes filling top jobs for his administration,real
Indonesian police warn Islamists against raids in search of Santa hats,real
Trump administration's Africa policy in focus at AGOA trade talks,real
CalPERS chief sees volatility until Trump implements plans,real
"France's Macron tells Iran, Israel leaders of need to preserve Lebanon's stability",real
Trump says U.S. deal with Russia on Syria will save many lives,real
Italy's 5-Star pummels center-right in Rome beachfront vote,real
