article,truthfulness
Three suspected al Qaeda militants killed in Yemen drone strike,real
BOOM! Black Activist Calls Black CA State Senator “Racist” For Supporting Mass Immigration: “A real man is Donald Trump”,fake
" Alex Jones POSITIVE Obama Killed Scalia, And You’ll Never Believe Who He Thinks Is Next (VIDEO)",fake
FBI AND CIA Host Job Fair In U.S. City With 40% MUSLIM Population…Feeling Safer Yet?,fake
[VIDEO] CARLY TAKES ON THE VIEW Hacks Only Days After Saying She Has A “Demented Face” And A “Halloween Mask”,fake
Santorum to pull out of Republican White House race: CNN,real
 New Expose Details Just How Terrible Donald Trump REALLY Is With Women,fake
" Adele Brings Whole Crowd Together To Dedicate Song To Brussels, And It’s Breathtaking (VIDEO)",fake
 GOP Anti-Trumpers Have A Hail Mary Idea To Stop Trump That Just Might Work,fake
"LIBERAL Lansing, MI Mayor Forced To REMOVE “Sanctuary City” Status After MI Residents Hammer Him For Arrogant Announcement On Tucker Carlson [VIDEO]",fake
"WRONG COLOR: If Left Really Cared About Police Brutality, They’d Be Protesting Death Of White 6 Yr Old Autistic Boy Whose Dad Was Unarmed With “Hands Up” [VIDEO]",fake
STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,fake
“STOP BLAMING WHITE PEOPLE For Trump’s Win Last Night…America Voted For Actual Change” [VIDEO],fake
Candidate Handel’s Excellent Response to Alexandria Shooter Calling Her A ‘Republican B**ch’,fake
 Jan Brewer: There Were Birther Democrats ‘All Over The Country’ (VIDEO),fake
NBC MANAGEMENT “Protected The Sh*t Out of Him”: Details of Married Matt Lauer’s Disgusting Acts Of Sexual Harassment Are REVEALED After Democrat Fan Boy Is Fired,fake
FLASHBACK 2015: ANTI-GUN OBSESSED White House Gives Tips On How To Talk About “Gun Control” At Thanksgiving [VIDEO],fake
" ‘Tehran’ Tom Cotton Insults U.S. Troops, Tries To Spark War With Iran In Disgraceful Interview (VIDEO)",fake
 Heroin Addict Trump Voter Sad Now That Donald Is Taking Away His Treatments (VIDEO),fake
RARE BEHIND THE SCENES LOOK: President Trump Visits Netanyahu Family…“I’m a Big League fan of both of you.” [Video],fake
 GOP Governor Calls Blacks “Colored People” (VIDEO),fake
 These Hilarious Donald Trump Impressions Prove That Other Candidates Hate Him Just As Much As We Do (VIDEOS),fake
