text,label,source,original_text
thigh-slapper ! DEMOCRATS volunteer Tips On How To convert Friends Christians Are More Likely To Commit move Of Terrorism Than Moslem,0,synthetic,WOW! DEMOCRATS Offer Tips On How To Convince Friends Christians Are More Likely To Commit Acts Of Terrorism Than Muslims
Republican mailer Threatens To Out Voters To Neighbors If They Vote Democrat,0,synthetic, Republican Mailer Threatens To Out Voters To Neighbors If They Vote Democrat
Deutschland : afghan “ Teen ” refugee WHO RAPED and KILLED Female Med Student and Refugee voluntary Is Actually 33-Years Old…And There ’ s MORE !,0,synthetic,GERMANY: Afghan “Teen” Refugee Who RAPED and KILLED Female Med Student and Refugee Volunteer Is Actually 33-Years Old…And There’s MORE!
shake up Kushner NEVER Registered To balloting As A “ Female ” …Media Lie BACKFIRES…Shines Bright Light On How Easily Voter Fraud Can pass off,0,synthetic,Jared Kushner NEVER Registered To Vote As A “Female”…Media Lie BACKFIRES…Shines Bright Light On How Easily Voter Fraud Can Occur
Watch Sir Edmund Percival Hillary ’ entropy Reaction When surety Tries To Kick Shirtless Male Supporters Out Of Her Rally,0,synthetic, Watch Hillary’s Reaction When Security Tries To Kick Shirtless Male Supporters Out Of Her Rally
PRESIDENT boost Made Hoosier State America : Omaha Steaks proprietor “ Wanted to snog Me ” for Reopening sell with China [ Video ],0,synthetic,PRESIDENT Promotes Made in America: Omaha Steaks Owner “Wanted to Kiss Me” for Reopening Trade with China [Video]
JUDGE ROY Dudley Stuart John Moore BLASTS Latest Accuser ’ mho Press league With Same Liberal Lawyer Who Tried To Take Down Trump : “ one Don ’ t Even Know The Woman ”,0,synthetic,JUDGE ROY MOORE BLASTS Latest Accuser’s Press Conference With Same Liberal Lawyer Who Tried To Take Down Trump: “I Don’t Even Know The Woman”
Elite Nazi-allied Order From Hungary arrogate Trump adviser Sebastian Gorka embody Sworn Member,0,synthetic,Elite Nazi-allied Order From Hungary Claims Trump Adviser Sebastian Gorka Is Sworn Member
Aziz Ansari only Told Trump To ‘ break fluorine * ck Himself ’ As Only He Can ( TWEET ),0,synthetic, Aziz Ansari Just Told Trump To ‘Go F*ck Himself’ As Only He Can (TWEET)
ALL Scheol IS ABOUT TO BREAK LOOSE 'tween European Vigilante grouping “ Soldiers Of Odin ” And Directorate for Inter-Services Intelligence Inspired “ soldier Of Allah ”,0,synthetic,ALL HELL IS ABOUT TO BREAK LOOSE Between European Vigilante Group “Soldiers Of Odin” And ISIS Inspired “Soldiers Of Allah”
"OBAMA BLAMES RUSSIA For Hillary ’ southward Loss , But newly HARVARD learn Exposes Who very Interfered In upshot Of Our election",0,synthetic,"OBAMA BLAMES RUSSIA For Hillary’s Loss, But NEW HARVARD STUDY Exposes Who REALLY Interfered In Outcome Of Our Elections"
POWERFUL ! FORMERLY OPPRESSED EX- MUSLIM WARNS Ignorant American About Danger Of “ receive The People I fly From ” [ VIDEO ],0,synthetic,POWERFUL! FORMERLY OPPRESSED EX- MUSLIM WARNS Ignorant Americans About Danger Of “Welcoming The People I Fled From” [VIDEO]
WATCH : thing receive REALLY AWKWARD When NBC Sent Hoda Over To Help Spike Megyn Grace Patricia Kelly ’ atomic number 16 Miserable Ratings,0,synthetic,WATCH: THINGS GOT REALLY AWKWARD When NBC Sent Hoda Over To Help Spike Megyn Kelly’s Miserable Ratings
Bystander Uses baseball game Bat To Stop Man From oppress Toddler ’ s question ‘ For divinity ’ ( TV ),0,synthetic, Bystander Uses Baseball Bat To Stop Man From Crushing Toddler’s Head ‘For God’ (VIDEO)
OBAMA Is GIVING YOUR Money To Illegal Aliens To bulge out Businesses…You Won ’ thyroxin Believe Where Those Businesses Are Located [ VIDEO ],0,synthetic,OBAMA Is GIVING YOUR Money To Illegal Aliens To Start Businesses…You Won’t Believe Where Those Businesses Are Located [VIDEO]
Colbert butter come out of the closet Republicans As The on-key Weirdos For haunt Over Who Goes To The Bathroom ( telecasting ),0,synthetic, Colbert Outs Republicans As The True Weirdos For Obsessing Over Who Goes To The Bathroom (VIDEO)
LOIS LERNER E-MAIL SNIPPETS REVEAL a BITTER vitamin B complex * TCH : “ Lincoln should have let the in the south go… ”,0,synthetic,LOIS LERNER E-MAIL SNIPPETS REVEAL A BITTER B*TCH: “Lincoln should have let the South go…”
DECLASSIFIED the States INTEL REPORT Used To Discredit trump out Is immense Embarrassment…Evidence Was Compiled In 2012 After OBAMA ’ reciprocal ohm Reelection,0,synthetic,DECLASSIFIED US INTEL REPORT Used To Discredit Trump Is Huge Embarrassment…Evidence Was Compiled In 2012 After OBAMA’S Reelection
ILLEGALS BEFORE AMERICAN CITIZENS : ACLU Sues triad Missouri River Colleges For Refusing Tuition Benefits To Illegal unknown,0,synthetic,ILLEGALS BEFORE AMERICAN CITIZENS: ACLU Sues 3 Missouri Colleges For Refusing Tuition Benefits To Illegal Aliens
LEO DITCHES HILLARY : Shady Excuse Doesn ’ t vanish In DiCaprio Fundraiser cancellation,0,synthetic,LEO DITCHES HILLARY: Shady Excuse Doesn’t Fly In DiCaprio Fundraiser Cancellation
Poll Shows Growing Number Of Republicans Don ’ tonne believe Trump constitute The Best Option For The GOP,0,synthetic, Poll Shows Growing Number Of Republicans Don’t Think Trump Is The Best Option For The GOP
LEFTIST detest ON sex hormone : Donald Trump Tombstone Appears In NYC,0,synthetic,LEFTIST HATE ON STEROIDS: Donald Trump Tombstone Appears In NYC
federal official JUDGE get On Rant About Cops wipe out Blacks….Declares : “ Black Lives Matter ! ” …Blames demise Of Cops on Cops,0,synthetic,FEDERAL JUDGE Goes On Rant About Cops Killing Blacks….Declares: “Black Lives Matter!”…Blames Deaths Of Cops On Cops
CLINTON short Cancels architectural plan To Go to Charlotte along Sunday…Gives Lame Excuse,0,synthetic,CLINTON ABRUPTLY Cancels Plans To Go to Charlotte On Sunday…Gives Lame Excuse
DEVASTATING 30 SECOND Commercial appearance Scary Truth close to TARGET ’ S Dangerous give Door Bathroom insurance policy [ video recording ],0,synthetic,DEVASTATING 30 SECOND Commercial Shows Scary Truth About TARGET’S Dangerous Open Door Bathroom Policy [VIDEO]
