text,transformed_text,label
The majority of them are as stupid as real Negroes .,majority The of them are as stupid as real Negroes.,Hate
put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,put and all in a the ophanage arrest a whore of a mother to the not of point having more biracial kids 8 kids have to suffer kids their lives to due a whore,Hate
Get one of these t-shirts for next time you see him : - Asatru Versand - Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shirt ) Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shir themd-kein-islam,Christentum one of these t-shirts for next Islam time see him : - Asatru Versand - Kein Islam in Europa - schlimm Get ist Das genug ( T-Shirt ) Kein you in Europa - Das Christentum ist schlimm genug ( T-Shir themd-kein-islam,Hate
I guess I would be destined for the gas chambers .,I guess I would be destined gas the for chambers.,Hate
"Take it slow then gradual , hell make them watch MTV for a few hours it 's the same thing as animal planet. and just gradually introduce them to your views .","hell it slow then gradual, Take make it as MTV for a few hours them 's the same thing watch animal planet. and just your introduce them to gradually views.",Hate
I would hate to live in Dublin with all the foreigners there now .,I would live to hate in Dublin with all the foreigners there now.,Hate
"I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis .","I 'm moving a to bigger house map soon, and that pretty is perfect for doing a groidal analysis.",Hate
"About the Chinese , those who remain in their own country are good , those who become illegal immigrants in white nations are bad .","About own Chinese, those who remain in their the country are nations, those who become illegal immigrants in white good are bad.",Hate
Sooner or later the black one will say `` mother * * * * er '' or `` madick '' .,Sooner or later the black one will madick `` mother * * * * er `` or `` say ``.,Hate
I wonder what the shegroid that came running up did .,I up what the shegroid that came running wonder did.,Hate
I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here .,I was own of hoping that they will bring are Ebola and here it around to their sort kind the and rest of the undesirables who back not wanted spread.,Hate
White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...,White need kids to interact with they and other non white real or they 'll be lost in the kids come the time kneegrows leave home...,Hate
This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events .... a much better target ..... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper `` as their poster for their last event .,This family that wants to these as gays should come much San Francisco and about some hell better complain gay pride events.... to a at target..... and these people Last San Francisco openly blasphemied Christ with their parody of'The in Supper `` raise their poster for their last event.,Hate
The have no concept of honour or of having respect for the feelings of others .,The have no for the honour or of having respect concept of feelings of others.,Hate
Why would you want to see this pollution spread further into our gene pool ?,Why further you want to see this pollution spread would pool our gene into?,Hate
This is completely disgusting ... How can we continue to house these people who have complete contempt for us and all our laws and customs ?,This is completely disgusting... How continue we our to house these people who have complete contempt for customs and all can laws and us?,Hate
These ' people ' are just scum .,These'people'are scum just.,Hate
There have been times when I have walked past some nigerian or skinny and they will cough with hand at their side without care for those around them .,There have been times when I have side their some around or skinny and they will cough without hand at past walked with care for those nigerian them.,Hate
"Watch the video , its only 10 minutes , you will see that eventually the bi-racial minority is butchered .","Watch the video, the only 10 minutes, you will see that eventually its bi-racial minority is butchered.",Hate
"We need more of our kids on the honor role and in college , crowding out the non-W 's !","We honor more of our kids and the need role on in college, crowding out the non-W 's!",Hate
"If this stupid brown savages would stop slaughtering animals or worshipping them ( like they do in India ) , maybe they would n't be starving and so poor .","If this stupid brown savages would be slaughtering animals or and them ( like they do in India ), maybe stop would n't they starving worshipping so poor.",Hate
If half White non negro and Jew are Pro White and do n't reproduce then they are ok .,If half White non they and Jew are Pro White and do n't are then negro reproduce ok.,Hate
Charlton Heston is rolling over in his grave knowing an ape has been elected to the white house .,Charlton Heston is rolling knowing in his over grave an ape has been elected to the white house.,Hate
They ca n't stand toe to toe with the white man so they just dance around until they 're tired .,They ca n't stand toe to toe with they white man so the dance just around until they 're tired.,Hate
May the wigger sister and parents be haunted by her death for the rest of their lives as it is in effect by their hands and actions that their sister and daughter was murdered by this beast .,May the wigger haunted that daughter be sister was death her for the rest of their lives as it is in effect by their hands and actions and their sister and parents by murdered by this beast.,Hate
Americans and Irish understand each other better than Spaniards and the beaners .. the US and Ireland are the 1st world so they are educated unlike the beaners .,they and Irish understand each other better than the and the beaners.. world US are Ireland and Spaniards 1st the so Americans are educated unlike the beaners.,Hate
"The negro is for White genocide , and I have nothing for the negro , not even sympathy in any way .","The negro is any White genocide, and I for nothing have the negro, not even sympathy in for way.",Hate
I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,people am White and I believe all what people know as no between right and wrong infighting matter White they say about their political positions.We are facing genocide the a I and the difference is just loved by non Whites.,Hate
They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',They 're cowards and like who are utterly incapable of simpletons a reasoned argument free of sententiously and stock phrases repeated scare-words generating `` racist. ``,Hate
It really pisses of the liberal leftist,It leftist pisses of the liberal really,Hate
Piece of * * * * deserves to be shot .,Piece deserves * * * * of to be shot.,Hate
It 'll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .,bastards 'll be a welcome change to see a fellow WN It seeing hundreds of lefty from to going see RATM.,Hate
"It's a good to add a hint of truth in your essay 's but maybe you have it better off then I did at high school , every teacher I had was very liberal and anti-racist , and could barely accept the truth .","It 's a good then add liberal hint high truth in your essay 's but maybe you to it better off have I did at of school, every teacher I had was very accept and anti-racist, and could barely a the truth.",Hate
"Most white girls are taught and brainwashed to love black guys , only way is to properly educate them and show them what savages they truly are .","Most white truly are what and brainwashed to love black guys, only way is to properly educate girls and show them taught savages they them are.",Hate
It's weird most Indians dot and to an extent feather that I deal with hate blacks more than they do whites and find blacks to be lazy and worthless .,It 's weird most Indians dot extent to an and feather that I deal do hate than and blacks they with whites and find blacks to be lazy more worthless.,Hate
Most of these videos belong on the Animal Planet tv channel .,Most of these Planet belong on the Animal videos tv channel.,Hate
i am just down the road to you.welcome to the board.it breaks my heart every time i go to Galway city and see the amount of blacks there.the other week i was walking down shop street and there was a moslem standing in the street selling copies of the koran,i am just down the road to you.welcome go the board.it breaks my heart the time i to to Galway city other see the amount was blacks there.the and week i and walking down shop street of there was a moslem standing in the selling street copies koran every of,Hate
"Right now when I think of WASP 's , I think of New England liberals who have never had a taste of diversity in their life .","New now I I think of WASP 's, when think of Right England liberals who have never had taste a of diversity in their life.",Hate
that is absolutely * * * * ing unbelievable.they can just go route one now.no more messing about going through europe.in bongo land one minute jump on the plane and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM.i am totally depressed hearing this,am is hearing * * * * that unbelievable.they plane just go route one now.no more messing about going through europe.in ing land one minute jump on the absolutely and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM.i bongo totally depressed can this,Hate
Just watch them at North America and they like all black sport players and their `` slang '' .,Just watch them slang they America and North like all black sport players and their `` at ``.,Hate
So now Stormfront Ireland is solely responsible for all racist attacks in Ireland. lol Ted is right this is the work of the Kikes those * * * * ers are never happy .,So now all Ireland is solely responsible for Stormfront racist attacks in Ireland. lol Ted is happy this is the work of the Kikes those * * * * right are never ers.,Hate
"The whites and the asians evoluated , and the blacks are still behind .","The whites and and asians evoluated, the the blacks are still behind.",Hate
Last Friday an associate here handed out 100 NV leaflets at a rodeo depicting a graphic summation of non-white ( mestizo ) immigration .,Last Friday an immigration here handed out 100 NV leaflets at depicting rodeo associate a graphic summation of non-white ( mestizo ) a.,Hate
"Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines YouTube - Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines Listen/watch the full interview @ Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines : Free Download & Streaming : Internet Archive www.DrDay.com www.GoodNewsAboutGod.com","Deanna Spingola and Dr. interview Day - Zionism, and Holocaust, Aids and Vaccines YouTube - Aids Spingola and Dr. Deanna Day - Zionism, the Holocaust, Aids Archive Vaccines Listen/watch the full Lorraine @ Deanna Spingola and Dr. Lorraine Day - Zionism, the Holocaust, Lorraine and Vaccines : Free Download & Streaming : Internet the www.DrDay.com www.GoodNewsAboutGod.com",Hate
I heard about it is it about that white guy that killed that race traitor slut and her nig nog boyfriend ?,I heard about it traitor race about that is guy that killed that it white slut and her nig nog boyfriend?,Hate
"If a show does n't involve homosexuals and/or interracial coupling , then it has a bunch of jews masquerading as whites running around with guns killing other whites .","If does coupling a n't involve homosexuals and/or interracial show, then it has a bunch of whites masquerading as jews running around with guns killing other whites.",Hate
i love it when jews get a taste of thier own vile medicene I hope each and every one of them young to old starve in the cold,the love starve when jews get a cold of thier own vile medicene I hope each and them one of every young to old it in i taste,Hate
They are culturally raping european countries in every way .,They are in raping european countries culturally every way.,Hate
I hope all their farms burn down and their nappy headed children squandle in the flames .,I hope all their farms burn in flames their nappy headed children squandle down the and.,Hate
"To all white patriots , watch ENDGAME ALEX JONES , OR ENDGAME from PRISON PLANET , and learn the agenda from the criminals Jewish bankers .","ENDGAME PLANET white patriots, watch all ALEX JONES, OR ENDGAME from PRISON To, and learn the agenda from the criminals Jewish bankers.",Hate
