text,transformed_text,label
i remember feeling shocked and somewhat embarrassed that the adf unity rite i was consecrated in was so much about me,the remember feeling me and somewhat embarrassed that i adf unity rite i was consecrated in was so much about shocked,Surprise
i think and feel its funny its sad its weird but more than any of that its the truth,i think and feel its funny its truth its weird but more than any of that its the sad,Surprise
i was like oh thats awesome blah but then he was like reminding me hes interested in this other girl and i was like i know this but what concerns me more is if it makes you feel too weird to be with me like this,i was but oh thats feel then but blah he was like reminding me hes interested in this other girl and i was like i know this like what concerns me more is if me makes you awesome too weird to be with it like this,Surprise
i am feeling a bit overwhelmed here,here am feeling a bit overwhelmed i,Surprise
i feel like itd be strange at the least and possibly offensive to tell a gay friend id like to experiment or something like that,i feel like itd be strange the at least and possibly offensive to tell a gay to id like friend experiment or something like that,Surprise
i am feeling so stunned and sad about the earthquake in christchurch new zealand yesterday,the am feeling so stunned and sad about i earthquake in christchurch new zealand yesterday,Surprise
i almost feel funny not adding a picture at the bottom of my post like denis and dave,i almost feel funny not adding post picture at the bottom of my a like denis and dave,Surprise
i believe the most readers feel impressed by the individual journey,i believe the by readers feel impressed most the individual journey,Surprise
i have learned so much with him even now i still learn new things about rabbits i feel you always keep learning about them being amazed by them,i have learned so much with him even you i still learn new things about rabbits i feel now always keep learning about them being them by amazed,Surprise
i feel weird if i just do completely nothing,weird feel i if i just do completely nothing,Surprise
i often sat back and feel amazed when the episode was over,i often sat back and feel over when the episode was amazed,Surprise
i asked darren about it when he got home as i was feeling a bit curious even though it didnt really matter and it was really none of my business,i asked darren about he when it got i as was was feeling a bit curious even though it didnt really matter and it home really none of my business,Surprise
i feel sort of dazed and cross eyed,feel i sort of dazed and cross eyed,Surprise
i do like to think that in the near future ill feel the urge to write up an album or two that has really impressed me most likely a href http handsomefamily,i do href to think that impressed the near future ill feel the urge to write has an album or two that up really in me most likely a like http handsomefamily,Surprise
i guess it doesn t help that i got sick on black friday and was forced against my will to maintain my promise to stay in but being back in the city feels amazing,i guess it doesn t will that stay got sick on black to and was forced against my help to maintain my promise friday i in but being back in the city feels amazing,Surprise
i just really feel so curious about whether you and dad have ever been bitten,i have really feel so curious about whether you and dad just ever been bitten,Surprise
i feel weird,weird feel i,Surprise
i feel that im most amazed still by silent knight which is an instrumental song ala hizaki,i feel knight im most amazed still by silent that which is an instrumental song ala hizaki,Surprise
i was kinda laying on my disappeared arm playing on the computer then i got up to turn eat dinner but on the way adjectives of a sudden this wierd feeling in my collar chest felt like a bounce of electricity shocked me or something then my left paw,i was kinda laying on my got arm playing on way computer then i disappeared up to adjectives eat dinner but on the the turn of a sudden this electricity feeling in my collar chest felt like a bounce of wierd shocked me or something then my left paw,Surprise
i woke up feeling dazed and confused,i woke confused feeling dazed and up,Surprise
i feel a strange sense of legacy,i of a strange sense feel legacy,Surprise
ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet,ive ever written although putting not gon na reproduce it on because it is full id boring the references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and of feel weird about im that here academic internet,Surprise
im getting there but i really do feel dazed and confused at the moment,im getting feel but i really do there dazed and confused at the moment,Surprise
i feel amazed knowing that it had been even bigger,i feel amazed knowing had it that been even bigger,Surprise
i had a hard time focusing on my life and walked around feeling dazed and confused,i had a hard time focusing on walked life and my around feeling dazed and confused,Surprise
i read through the ol feefyefo space i feel amazed at how much i could blabber and how transparent i was with my life,i i through the ol feefyefo space at feel amazed read how much i could blabber and how transparent i was with my life,Surprise
i volunteered for everything and wound up feeling overwhelmed and people got mad at me for not being able to meet my obligations,i volunteered overwhelmed everything and wound up feeling for and mad got people at me for not being able to meet my obligations,Surprise
i feel like when i was a kid it was constantly impressed upon me how awesome ants are,i feel like when i was constantly kid it was a impressed upon me how awesome ants are,Surprise
i think it is the worst feeling it gives me the shivers and just thinking about it makes my teeth feel strange,i think it is the worst feel it gives me the shivers about just thinking and it makes my teeth feeling strange,Surprise
i found myself feeling a bit overwhelmed,i found myself bit a feeling overwhelmed,Surprise
i was cut into feeling pain that shocked me,i was feeling into cut pain that shocked me,Surprise
i managed to take some photos today of my outfit which did feel rather strange especially as i havent taken any for such a long time,i managed to take of photos today some my outfit which did feel rather strange especially as a havent taken any for such i long time,Surprise
i feel amazed to say that i am doing what i only dreamed of doing again,i feel amazed to say that i am only what i doing dreamed of doing again,Surprise
i do when i m feeling a bit weird to reground myself,i do when i m feeling to bit weird a reground myself,Surprise
i stared up at him amazed by the feeling and as equally amazed that nothing else was happening,i stared up at him amazed by the feeling and as amazed equally that nothing else was happening,Surprise
im still feeling very incredibly overwhelmed with the entire situation,im still very feeling incredibly overwhelmed with the entire situation,Surprise
