text,transformed_text,label
"emergency responders working to dislodge commercial jet from thick, polluted cloud over new delhi","emergency cloud working to dislodge commercial jet from thick, polluted responders over new delhi",sarcasm
vending machine most up-to-date technology in school,most machine vending up-to-date technology in school,sarcasm
new energy secretary guesses he ought to read up on energy,new energy secretary energy he ought to read up on guesses,sarcasm
horde of orange monsters exits local tanning salon,horde of local monsters exits orange tanning salon,sarcasm
isis struggling to narrow down gop debate sound bites for new recruitment video,isis new to narrow down gop debate sound bites for struggling recruitment video,sarcasm
console wars heat up as zenith unveils gamespace pro,console pro heat up as zenith unveils gamespace wars,sarcasm
ryan lochte now changing account of events going back years before robbery,ryan lochte now changing account of years going back events before robbery,sarcasm
idea to see mario van peebles movie occurs to no one,one to see mario van peebles movie occurs to no idea,sarcasm
antifa organizers announce plans to disrupt neo-nazi rally or whatever else going on that day,antifa plans announce organizers to disrupt neo-nazi rally or whatever else going on that day,sarcasm
kamikaze swimmers finally reach pearl harbor,kamikaze pearl finally reach swimmers harbor,sarcasm
new pepsi product specifically mentions target demographic in name,specifically pepsi product new mentions target demographic in name,sarcasm
consumer confidence verging on cockiness,consumer confidence verging cockiness on,sarcasm
frustrated employee no longer even trying to hide gre study books,frustrated employee no hide even trying to longer gre study books,sarcasm
mcdonald's prints calorie count right onto meat,mcdonald 's prints right count calorie onto meat,sarcasm
area woman has more than 200 products to help calm her,has woman area more than 200 products to help calm her,sarcasm
man surprised to hear himself tell matt damon he's a 'big fan',man surprised to hear himself matt tell damon he 's a 'big fan ',sarcasm
world gets first-ever look inside greenspan fantasy ranch,world look first-ever gets inside greenspan fantasy ranch,sarcasm
nation to wait for more facts on texas shooting before doing absolutely nothing about it,nation to wait nothing more facts on texas shooting before doing absolutely for about it,sarcasm
grocery-store worker can't bear to eat food anymore,grocery-store bear ca n't worker to eat food anymore,sarcasm
gym teacher still remembers names of every former pantywaist,gym every still remembers names of teacher former pantywaist,sarcasm
mom learns about new vegetable,about learns mom new vegetable,sarcasm
pigeon's route accommodated,pigeon 's accommodated route,sarcasm
car salesman three desks over going on and on about chick he banged last night,banged salesman three desks over going on and on about chick he car last night,sarcasm
magazine runs article about louis c.k.,about runs article magazine louis c.k.,sarcasm
woman thinks she would make a great talk-show host,great thinks she would make a woman talk-show host,sarcasm
food critic's wife makes the best lasagna she possibly can,food critic 's wife makes possibly best lasagna she the can,sarcasm
dad delivers state of the union rebuttal directly into television screen,dad delivers state of the union rebuttal directly into screen television,sarcasm
"god almost forgot to kill dave elfman of boulder, co today","god almost forgot to kill co elfman of boulder, dave today",sarcasm
study finds leading cause of depression hearing words '2016 frontrunners',study cause leading finds of depression hearing words '2016 frontrunners ',sarcasm
mcdonald's birthday party to be happiest time in child's life,to 's birthday party mcdonald be happiest time in child 's life,sarcasm
baseball slugger on pace to hit 60 women,to slugger on pace baseball hit 60 women,sarcasm
new envelope pushes envelope envelope,envelope new pushes envelope envelope,sarcasm
india holds 5k stampede for charity,india holds stampede 5k for charity,sarcasm
man trying to get out of executioner duty,man trying to get out duty executioner of,sarcasm
macklemore reminds grammys audience about cds available for sale in lobby,macklemore reminds cds audience about grammys available for sale in lobby,sarcasm
philip roth obituary just thinly disguised version of author's life,philip roth obituary just thinly life version of author 's disguised,sarcasm
new financial report finds economy invincible forever this time,new financial report economy finds invincible forever this time,sarcasm
town nervously welcomes veteran back home,home nervously welcomes veteran back town,sarcasm
non-denominational terrorist organization welcomes extremists of all faiths,non-denominational terrorist organization welcomes extremists all of faiths,sarcasm
road sign over-explains highway's dangers,road highway over-explains sign 's dangers,sarcasm
area man purchases the devil's advocate on dvd for some reason,area man the purchases devil 's advocate on dvd for some reason,sarcasm
change in bus seats taken personally,change in bus personally taken seats,sarcasm
new ted nugent cologne tested on 'every goddamn animal we could find',new ted nugent cologne we on 'every goddamn animal tested could find ',sarcasm
mental hospital fire leaves hundreds of demons homeless,mental hospital fire of hundreds leaves demons homeless,sarcasm
fridge magnet pushed to limits,pushed magnet fridge to limits,sarcasm
u.n. tribunal swayed by thousands of children's letters to milosevic,u.n. thousands swayed by tribunal of children 's letters to milosevic,sarcasm
secretary of education under investigation for falsifying hall passes,secretary of education under investigation falsifying for hall passes,sarcasm
supreme court justices keep citing cases roberts and alito are too young to remember,supreme citing justices keep court cases roberts and alito are too young to remember,sarcasm
pope francis trains for easter mass by dragging pew loaded with rocks across snow,pope francis trains loaded easter mass by dragging pew for with rocks across snow,sarcasm
progressive company pays both men and women 78% of what they should be earning,progressive company pays both men should women 78 % of what they and be earning,sarcasm
"after one realizes methadone clinic nearby, behavior around city block makes sense","after one realizes makes clinic nearby, behavior around city block methadone sense",sarcasm
rumsfeld sick of jokes about his fat girlfriend,rumsfeld sick of girlfriend about his fat jokes,sarcasm
office janitor asks to work from home,office janitor asks from work to home,sarcasm
new workplace diversity initiative kills one white employee every hour on the hour until more minority candidates hired,new workplace diversity initiative every one white employee kills hour on the hour until more minority candidates hired,sarcasm
now that's what i call shitty music 8 tops album charts,now that 's i what call shitty music 8 tops album charts,sarcasm
mars maven begins mission to take thousands of high-resolution desktop backgrounds,mars maven begins mission to take thousands of high-resolution backgrounds desktop,sarcasm
tsarnaev death penalty a warning to any other religious fanatics hoping to be martyred,tsarnaev death penalty a to to any other religious fanatics hoping warning be martyred,sarcasm
freemasons return to jupiter,freemasons return jupiter to,sarcasm
ivy-covered home like that on inside too,ivy-covered home like on that inside too,sarcasm
local los angeles awards show slated to open for grammys,local los awards angeles show slated to open for grammys,sarcasm
hooded members of congress drown another love child in potomac to prevent affair from getting out,hooded out of congress drown another love child in potomac to prevent affair from getting members,sarcasm
relapse greatest week of man's life,life greatest week of man 's relapse,sarcasm
"'these kids should be in school instead of protesting,' say people so tantalizingly close to getting the point","'these kids should be in instead school of protesting,'say people so tantalizingly close to getting the point",sarcasm
public-speaking student to make point of gesturing,public-speaking student to make gesturing of point,sarcasm
85 percent of u.s. cole slaw remains uneaten,slaw percent of u.s. cole 85 remains uneaten,sarcasm
area woman not about to miss ally mcbeal for that,area woman not about to miss that mcbeal for ally,sarcasm
drought bad,bad drought,sarcasm
lesbian couple enjoys hot lesbian action,lesbian couple enjoys hot lesbian action,sarcasm
prima donna surgeon storms out of half-full operating theater,prima of surgeon storms out donna half-full operating theater,sarcasm
romney campaign reboots for 72nd consecutive week,romney campaign 72nd for reboots consecutive week,sarcasm
congress splits into male and female senators to discuss newest reproductive bill,congress splits into male and reproductive senators to discuss newest female bill,sarcasm
heritage foundation lowers another retired gop senator into vat of strategists,heritage retired lowers another foundation gop senator into vat of strategists,sarcasm
new online voting system allows millions of masturbators to take part in democracy,new online of system allows millions voting masturbators to take part in democracy,sarcasm
friend from college wasted no time becoming white-collar professional,professional from college wasted no time becoming white-collar friend,sarcasm
casual friday claims lives of 13 nuclear-waste-disposal technicians,casual friday claims lives of technicians nuclear-waste-disposal 13,sarcasm
drew carey signs 75-year contract to host the price is right,drew carey signs 75-year contract is host the price to right,sarcasm
hollywood quietly shuts down after realizing that entertainment a delicate matter of subjective opinion,hollywood quietly subjective down after realizing that entertainment a delicate matter of shuts opinion,sarcasm
man with stupid breaks off co-dependent relationship,off with stupid breaks man co-dependent relationship,sarcasm
huntsman quietly relieved to be polling poorly among gop voters,huntsman quietly relieved to gop polling poorly among be voters,sarcasm
rick santorum relieved no one has asked him about interracial marriage yet,rick santorum relieved interracial one has asked him about no marriage yet,sarcasm
storybook romance leads to in-flight-magazine marriage,storybook leads romance to in-flight-magazine marriage,sarcasm
friendship blossoms into unrequited love,blossoms friendship into unrequited love,sarcasm
quaker oats canister relabeled 'drugs' for grade school play,quaker oats canister grade 'drugs'for relabeled school play,sarcasm
"hannity claims relationship with cohen never went past payment for legal advice, defense strategy in criminal cases","with claims relationship hannity cohen never went past payment for legal advice, defense strategy in criminal cases",sarcasm
"area man too poor to afford movers, too old to get help from his friends","area man too poor to friends movers, too old to get help from his afford",sarcasm
