text,transformed_text,label
"emergency responders working to dislodge commercial jet from thick, polluted cloud over new delhi",emergency working to dislodge commercial jet thick polluted cloud new delhi,sarcasm
vending machine most up-to-date technology in school,vending machine most up-to-date in school,sarcasm
new energy secretary guesses he ought to read up on energy,new energy secretary guesses to read up on energy,sarcasm
horde of orange monsters exits local tanning salon,horde of orange monsters exits local tanning salon,sarcasm
isis struggling to narrow down gop debate sound bites for new recruitment video,struggling to down gop debate sound bites for new recruitment video,sarcasm
console wars heat up as zenith unveils gamespace pro,console wars heat up as zenith unveils gamespace pro,sarcasm
ryan lochte now changing account of events going back years before robbery,ryan lochte now changing of events going back years before robbery,sarcasm
idea to see mario van peebles movie occurs to no one,idea to see mario van peebles movie occurs to no one,sarcasm
antifa organizers announce plans to disrupt neo-nazi rally or whatever else going on that day,antifa organizers to disrupt neo-nazi rally whatever else going on that,sarcasm
kamikaze swimmers finally reach pearl harbor,kamikaze swimmers finally reach pearl harbor,sarcasm
new pepsi product specifically mentions target demographic in name,new pepsi product specifically mentions target demographic in name,sarcasm
consumer confidence verging on cockiness,consumer confidence verging on cockiness,sarcasm
frustrated employee no longer even trying to hide gre study books,frustrated employee no even to hide gre study,sarcasm
mcdonald's prints calorie count right onto meat,mcdonald 's calorie right onto meat,sarcasm
area woman has more than 200 products to help calm her,area woman has more than 200 products to help calm her,sarcasm
man surprised to hear himself tell matt damon he's a 'big fan',man surprised to hear himself tell matt damon he a 'big fan ',sarcasm
world gets first-ever look inside greenspan fantasy ranch,gets first-ever look inside greenspan fantasy ranch,sarcasm
nation to wait for more facts on texas shooting before doing absolutely nothing about it,nation to wait more facts on texas shooting before absolutely nothing about it,sarcasm
grocery-store worker can't bear to eat food anymore,grocery-store worker ca n't bear to eat food anymore,sarcasm
gym teacher still remembers names of every former pantywaist,teacher still remembers names of every former pantywaist,sarcasm
mom learns about new vegetable,mom about new vegetable,sarcasm
pigeon's route accommodated,pigeon 's route accommodated,sarcasm
car salesman three desks over going on and on about chick he banged last night,car salesman three desks over going on and on chick he banged last night,sarcasm
magazine runs article about louis c.k.,runs article about louis c.k .,sarcasm
woman thinks she would make a great talk-show host,woman thinks she would make a great talk-show host,sarcasm
food critic's wife makes the best lasagna she possibly can,food critic 's wife makes the lasagna she possibly,sarcasm
dad delivers state of the union rebuttal directly into television screen,dad delivers state of the union rebuttal directly into television screen,sarcasm
"god almost forgot to kill dave elfman of boulder, co today","god forgot to kill dave elfman of boulder , co today",sarcasm
study finds leading cause of depression hearing words '2016 frontrunners',study finds leading cause of depression hearing '2016 frontrunners,sarcasm
mcdonald's birthday party to be happiest time in child's life,mcdonald 's birthday party to be in child 's life,sarcasm
baseball slugger on pace to hit 60 women,baseball slugger on pace to hit 60 women,sarcasm
new envelope pushes envelope envelope,new envelope pushes envelope envelope,sarcasm
india holds 5k stampede for charity,india holds 5k stampede for charity,sarcasm
man trying to get out of executioner duty,man trying get out of executioner duty,sarcasm
macklemore reminds grammys audience about cds available for sale in lobby,macklemore reminds grammys audience about cds available for sale in lobby,sarcasm
philip roth obituary just thinly disguised version of author's life,philip obituary just thinly disguised version of author 's life,sarcasm
new financial report finds economy invincible forever this time,new financial report finds economy invincible forever this time,sarcasm
town nervously welcomes veteran back home,town nervously welcomes veteran back home,sarcasm
non-denominational terrorist organization welcomes extremists of all faiths,non-denominational organization welcomes extremists of all faiths,sarcasm
road sign over-explains highway's dangers,sign over-explains highway 's dangers,sarcasm
area man purchases the devil's advocate on dvd for some reason,area man purchases the devil 's advocate on dvd for some reason,sarcasm
change in bus seats taken personally,change bus seats taken personally,sarcasm
new ted nugent cologne tested on 'every goddamn animal we could find',new ted nugent cologne tested on 'every animal we could find ',sarcasm
mental hospital fire leaves hundreds of demons homeless,mental hospital fire hundreds of demons,sarcasm
fridge magnet pushed to limits,fridge magnet pushed to limits,sarcasm
u.n. tribunal swayed by thousands of children's letters to milosevic,u.n. tribunal by thousands of children 's letters to,sarcasm
secretary of education under investigation for falsifying hall passes,secretary of education under investigation for falsifying hall passes,sarcasm
supreme court justices keep citing cases roberts and alito are too young to remember,supreme court justices keep citing cases roberts and alito are too young to remember,sarcasm
pope francis trains for easter mass by dragging pew loaded with rocks across snow,pope trains for easter mass by dragging pew loaded rocks across snow,sarcasm
progressive company pays both men and women 78% of what they should be earning,progressive company pays both men and women 78 of what they should be earning,sarcasm
"after one realizes methadone clinic nearby, behavior around city block makes sense","after one realizes methadone clinic , behavior around city block makes sense",sarcasm
rumsfeld sick of jokes about his fat girlfriend,sick of about his fat,sarcasm
office janitor asks to work from home,office janitor asks to work from home,sarcasm
new workplace diversity initiative kills one white employee every hour on the hour until more minority candidates hired,new initiative kills one white employee every hour on the until more minority candidates hired,sarcasm
now that's what i call shitty music 8 tops album charts,now that 's what i call shitty music 8 album charts,sarcasm
mars maven begins mission to take thousands of high-resolution desktop backgrounds,mars maven begins to take thousands of high-resolution desktop backgrounds,sarcasm
tsarnaev death penalty a warning to any other religious fanatics hoping to be martyred,tsarnaev death penalty a warning to any other religious fanatics hoping to be martyred,sarcasm
freemasons return to jupiter,freemasons return to jupiter,sarcasm
ivy-covered home like that on inside too,ivy-covered home like that on inside too,sarcasm
local los angeles awards show slated to open for grammys,local angeles awards show slated to for grammys,sarcasm
hooded members of congress drown another love child in potomac to prevent affair from getting out,hooded members of congress drown another child potomac to prevent affair from getting out,sarcasm
relapse greatest week of man's life,greatest week of man 's life,sarcasm
"'these kids should be in school instead of protesting,' say people so tantalizingly close to getting the point","'these kids should be in school instead of protesting , ' say people so tantalizingly close to getting the point",sarcasm
public-speaking student to make point of gesturing,public-speaking student make point of gesturing,sarcasm
85 percent of u.s. cole slaw remains uneaten,85 percent of u.s. cole slaw remains uneaten,sarcasm
area woman not about to miss ally mcbeal for that,area not about to miss mcbeal that,sarcasm
drought bad,drought bad,sarcasm
lesbian couple enjoys hot lesbian action,lesbian couple enjoys hot lesbian action,sarcasm
prima donna surgeon storms out of half-full operating theater,prima donna surgeon storms out of half-full operating theater,sarcasm
romney campaign reboots for 72nd consecutive week,romney campaign reboots for 72nd consecutive,sarcasm
