text,label,source,original_text
WOW! DEMOCRATS offer advice on how to convince Christian friends are more likely to commit terrorist acts than Muslims,0,synthetic,WOW! DEMOCRATS Offer Tips On How To Convince Friends Christians Are More Likely To Commit Acts Of Terrorism Than Muslims
Republican Messenger threatens to vote for neighbours if they vote Democratic,0,synthetic, Republican Mailer Threatens To Out Voters To Neighbors If They Vote Democrat
"GERMANY: Afghan, Teen, refugee who took and killed a woman Med Student and refugee volunteer is actually 33 years old...And there, more!",0,synthetic,GERMANY: Afghan “Teen” Refugee Who RAPED and KILLED Female Med Student and Refugee Volunteer Is Actually 33-Years Old…And There’s MORE!
Jared Kushner never signed up to vote like a femelle... Media Lie BACKFIRES... Shines bright light on how easily voting fraud can happen,0,synthetic,Jared Kushner NEVER Registered To Vote As A “Female”…Media Lie BACKFIRES…Shines Bright Light On How Easily Voter Fraud Can Occur
Look at Hillary's reaction when security is trying to pull the fans out of his Rally without a shirt.,0,synthetic, Watch Hillary’s Reaction When Security Tries To Kick Shirtless Male Supporters Out Of Her Rally
"The president promoted Made in America: Omaha Steaks owning ""Wanted to Kiss Me"" for the reopening of trade with China [Video]",0,synthetic,PRESIDENT Promotes Made in America: Omaha Steaks Owner “Wanted to Kiss Me” for Reopening Trade with China [Video]
"JUDGE ROY MOORE BLASTS The last press conference on the Accused with the same Liberal lawyer who tried to bring down Trump: ""I don't even know the woman""",0,synthetic,JUDGE ROY MOORE BLASTS Latest Accuser’s Press Conference With Same Liberal Lawyer Who Tried To Take Down Trump: “I Don’t Even Know The Woman”
Elite Nazi-Allied Order of Hungary Trump Claims Counselor Sebastian Gorka is Sworn Member,0,synthetic,Elite Nazi-allied Order From Hungary Claims Trump Adviser Sebastian Gorka Is Sworn Member
Aziz Ansari just told Trump to get away as he can (TWEET),0,synthetic, Aziz Ansari Just Told Trump To ‘Go F*ck Himself’ As Only He Can (TWEET)
Everything is on the surface of a door between the European group of villillants and the soldiers of Odin and ISIS Inspired by the Soldiers of Allah,0,synthetic,ALL HELL IS ABOUT TO BREAK LOOSE Between European Vigilante Group “Soldiers Of Odin” And ISIS Inspired “Soldiers Of Allah”
"OBAMA BLAMES RUSSIA for the loss of Hillary, but NEW STUDY OF HARVARD Expos that really interfered in the outcome of our elections",0,synthetic,"OBAMA BLAMES RUSSIA For Hillary’s Loss, But NEW HARVARD STUDY Exposes Who REALLY Interfered In Outcome Of Our Elections"
POWERFUL! Formerly opressed ex-MUSLIM WARNS Ignorant Americans About Danger Of -Welcoming The People I Fled Fled From [VIDEO],0,synthetic,POWERFUL! FORMERLY OPPRESSED EX- MUSLIM WARNS Ignorant Americans About Danger Of “Welcoming The People I Fled From” [VIDEO]
"WATCH: THINGS GOT REALLY AWKWARD When NBC sent Hoda to help Spike Megyn Kelly, the wretched scores",0,synthetic,WATCH: THINGS GOT REALLY AWKWARD When NBC Sent Hoda Over To Help Spike Megyn Kelly’s Miserable Ratings
"The spectator uses the baseball bat to prevent the man from crashing on the head of the toddler ""For God"" (VIDEO)",0,synthetic, Bystander Uses Baseball Bat To Stop Man From Crushing Toddler’s Head ‘For God’ (VIDEO)
OMAMA gives your money to illegal foreigners to start businesses... You won't believe where these companies are located [VIDEO],0,synthetic,OBAMA Is GIVING YOUR Money To Illegal Aliens To Start Businesses…You Won’t Believe Where Those Businesses Are Located [VIDEO]
Colbert takes the Republicans out like the real weird one for the obsessed by who goes to the bathroom (VIDEO),0,synthetic, Colbert Outs Republicans As The True Weirdos For Obsessing Over Who Goes To The Bathroom (VIDEO)
