text,transformed_text,label
"emergency responders working to dislodge commercial jet from thick, polluted cloud over new delhi","exigency respondent working to dislodge commercial jet from thick , contaminated taint over new delhi",sarcasm
vending machine most up-to-date technology in school,peddling machine most up-to-date technology inwards school,sarcasm
new energy secretary guesses he ought to read up on energy,fresh energy secretary guesses he ought to read up along energy,sarcasm
horde of orange monsters exits local tanning salon,horde of orange lusus naturae exits local tanning salon,sarcasm
isis struggling to narrow down gop debate sound bites for new recruitment video,ISI struggling to narrow down gop debate sound chomp for new recruitment video,sarcasm
console wars heat up as zenith unveils gamespace pro,console wars heat up as zenith unveil gamespace professional,sarcasm
ryan lochte now changing account of events going back years before robbery,ryan lochte now changing story of events going back year before robbery,sarcasm
idea to see mario van peebles movie occurs to no one,idea to take care mario new wave peebles movie occurs to no one,sarcasm
antifa organizers announce plans to disrupt neo-nazi rally or whatever else going on that day,antifa arranger announce plans to break up neo-nazi rally or whatever else going on that day,sarcasm
kamikaze swimmers finally reach pearl harbor,kamikaze swimmers at last reach pearl harbor,sarcasm
new pepsi product specifically mentions target demographic in name,young pepsi product specifically mentions target demographic In name,sarcasm
consumer confidence verging on cockiness,consumer confidence verging along cockiness,sarcasm
frustrated employee no longer even trying to hide gre study books,frustrated employee no longer yet test to hide gre study books,sarcasm
mcdonald's prints calorie count right onto meat,mcdonald 's prints calorie count right onto meat,sarcasm
area woman has more than 200 products to help calm her,area woman has More than 200 products to help calm her,sarcasm
man surprised to hear himself tell matt damon he's a 'big fan',man surprise to see himself tell matte damon he 's a 'big fan ',sarcasm
world gets first-ever look inside greenspan fantasy ranch,world baffle first-ever look inside greenspan fantasy ranch,sarcasm
nation to wait for more facts on texas shooting before doing absolutely nothing about it,nation to wait for Thomas More fact on texas shooting before serve absolutely nothing about it,sarcasm
grocery-store worker can't bear to eat food anymore,grocery-store worker ca n't bear to eat food any longer,sarcasm
gym teacher still remembers names of every former pantywaist,gym teacher still remembers names of every sometime pantywaist,sarcasm
mom learns about new vegetable,mom learns about new veg,sarcasm
pigeon's route accommodated,pigeon 's itinerary accommodated,sarcasm
car salesman three desks over going on and on about chick he banged last night,auto salesman three desk over live on and on about chick he banged go night,sarcasm
magazine runs article about louis c.k.,magazine runs article about Joseph Louis Barrow c.k .,sarcasm
woman thinks she would make a great talk-show host,woman thinks she would make a great talk-show host,sarcasm
food critic's wife makes the best lasagna she possibly can,food critic 's wife makes the expert lasagne she possibly can,sarcasm
dad delivers state of the union rebuttal directly into television screen,dad delivers state of the union rebuttal directly into television set screen,sarcasm
"god almost forgot to kill dave elfman of boulder, co today","god almost forgot to kill dave elfman of boulder , co now",sarcasm
study finds leading cause of depression hearing words '2016 frontrunners',study finds contribute case of depressive disorder hearing words '2016 frontrunners ',sarcasm
mcdonald's birthday party to be happiest time in child's life,mcdonald 's natal day party to be happiest time in child 's life,sarcasm
baseball slugger on pace to hit 60 women,baseball slugger on pace to hit threescore women,sarcasm
new envelope pushes envelope envelope,new envelope pushes gasbag envelope,sarcasm
india holds 5k stampede for charity,india holds 5k stampede for charity,sarcasm
man trying to get out of executioner duty,man trying to get stunned of executioner responsibility,sarcasm
macklemore reminds grammys audience about cds available for sale in lobby,macklemore prompt grammys audience about cds available for sales event in lobby,sarcasm
philip roth obituary just thinly disguised version of author's life,philip Philip Roth obituary just lightly mask version of author 's life,sarcasm
new financial report finds economy invincible forever this time,young financial report finds economic system invincible forever this time,sarcasm
town nervously welcomes veteran back home,town nervously welcomes veteran endorse home,sarcasm
non-denominational terrorist organization welcomes extremists of all faiths,non-denominational terrorist organization welcomes extremist of completely faiths,sarcasm
road sign over-explains highway's dangers,road sign over-explains highway 's dangers,sarcasm
area man purchases the devil's advocate on dvd for some reason,area man leverage the devil 's advocate on videodisc for approximately reason,sarcasm
change in bus seats taken personally,change in bus seating area taken personally,sarcasm
new ted nugent cologne tested on 'every goddamn animal we could find',new Teddy boy nugent cologne essay along 'every goddamn animal we could find ',sarcasm
mental hospital fire leaves hundreds of demons homeless,genial infirmary fire leaves hundreds of demons homeless,sarcasm
fridge magnet pushed to limits,fridge magnet pushed to set,sarcasm
u.n. tribunal swayed by thousands of children's letters to milosevic,u.n. tribunal sway by thousands of children 's letter to milosevic,sarcasm
secretary of education under investigation for falsifying hall passes,secretary of education under investigation for distort hall hand,sarcasm
supreme court justices keep citing cases roberts and alito are too young to remember,supreme court justices keep refer cases Oral Roberts and alito are overly Pres Young to remember,sarcasm
pope francis trains for easter mass by dragging pew loaded with rocks across snow,pope francis trains for easter mass by dragging pew loaded with rocks crosswise pull the wool over someone's eyes,sarcasm
progressive company pays both men and women 78% of what they should be earning,progressive company pays both men and women 78 % of what they should be take in,sarcasm
"after one realizes methadone clinic nearby, behavior around city block makes sense","afterwards single realizes methadone clinic nearby , behavior around city pulley makes sense",sarcasm
rumsfeld sick of jokes about his fat girlfriend,rumsfeld sick of jokes about his productive girlfriend,sarcasm
office janitor asks to work from home,spot janitor asks to knead from home,sarcasm
new workplace diversity initiative kills one white employee every hour on the hour until more minority candidates hired,new workplace diversity initiative drink down one livid employee every time of day on the hour until more nonage candidates hired,sarcasm
now that's what i call shitty music 8 tops album charts,now that 's what i call shitty music 8 tops record album charts,sarcasm
mars maven begins mission to take thousands of high-resolution desktop backgrounds,mars maven begins mission to get hold of thousand of high-resolution screen background backgrounds,sarcasm
tsarnaev death penalty a warning to any other religious fanatics hoping to be martyred,tsarnaev death penalty a warning to whatever other religious fanatics hoping to be martyred,sarcasm
freemasons return to jupiter,freemasons riposte to jupiter,sarcasm
ivy-covered home like that on inside too,ivy-covered dwelling house like that along inside too,sarcasm
local los angeles awards show slated to open for grammys,local los angeles awards display slated to open for grammys,sarcasm
hooded members of congress drown another love child in potomac to prevent affair from getting out,hooded fellow member of congress drown another love kid in potomac to prevent affair from getting extinct,sarcasm
relapse greatest week of man's life,relapse greatest week of world 's life,sarcasm
"'these kids should be in school instead of protesting,' say people so tantalizingly close to getting the point","'these kids should be in schooling instead of protesting , ' say people thus tantalizingly tight to getting the point",sarcasm
public-speaking student to make point of gesturing,public-speaking educatee to piss point of gesturing,sarcasm
85 percent of u.s. cole slaw remains uneaten,85 percent of u.s. kale slaw stay uneaten,sarcasm
