text,transformed_text,label
i remember feeling shocked and somewhat embarrassed that the adf unity rite i was consecrated in was so much about me,one remember feeling outrage and somewhat embarrassed that the adf unity rite i was consecrated in comprise so much about ME,Surprise
i think and feel its funny its sad its weird but more than any of that its the truth,iodine conceive and feel its funny its sad its weird but more than whatever of that IT the accuracy,Surprise
i was like oh thats awesome blah but then he was like reminding me hes interested in this other girl and i was like i know this but what concerns me more is if it makes you feel too weird to be with me like this,single was like oh thats awesome blah but then he comprise like remind me he interested in this other girl and ace was like i know this just what concerns me more is if information technology create you feeling too weird to make up with me like this,Surprise
i am feeling a bit overwhelmed here,i am feel a scrap overwhelmed here,Surprise
i feel like itd be strange at the least and possibly offensive to tell a gay friend id like to experiment or something like that,i feel the like itd be strange at the least and possibly nauseous to tell a gay friend Idaho like to experiment or something like that,Surprise
i am feeling so stunned and sad about the earthquake in christchurch new zealand yesterday,i am feeling and then stun and sad about the earthquake In christchurch fresh zealand yesterday,Surprise
i almost feel funny not adding a picture at the bottom of my post like denis and dave,i almost look funny not lend a picture astatine the bottom of my post same denis and dave,Surprise
i believe the most readers feel impressed by the individual journey,i trust the most readers feel impressed by the individual journeying,Surprise
i have learned so much with him even now i still learn new things about rabbits i feel you always keep learning about them being amazed by them,i have learned so much with him eve right away i hush up learn unexampled things more or less rabbits i finger you always restrain learning virtually them being amazed by them,Surprise
i feel weird if i just do completely nothing,i feel weird if i precisely do completely nothing,Surprise
i often sat back and feel amazed when the episode was over,i often sat back and feel baffle when the episode follow over,Surprise
i asked darren about it when he got home as i was feeling a bit curious even though it didnt really matter and it was really none of my business,i asked darren about information technology when he fuck off home plate as i was feeling a turn curious even though it didnt really matter and information technology represent really none of my business,Surprise
i feel sort of dazed and cross eyed,i feel variety of bedazzle and cross eyed,Surprise
i do like to think that in the near future ill feel the urge to write up an album or two that has really impressed me most likely a href http handsomefamily,i do like to call back that in the near future ill feel the exhort to write up an album or 2 that has really impressed Maine most probable a href http handsomefamily,Surprise
i guess it doesn t help that i got sick on black friday and was forced against my will to maintain my promise to stay in but being back in the city feels amazing,ane guess it doesn t help that i vex sick on black friday and was forced against my will to maintain my promise to stop in but being back inward the city feels amazing,Surprise
i just really feel so curious about whether you and dad have ever been bitten,iodin just real feel so curious about whether you and dad bear ever been bitten,Surprise
i feel weird,one feel weird,Surprise
i feel that im most amazed still by silent knight which is an instrumental song ala hizaki,i feel that im most amazed still by understood dub which is an implemental song ala hizaki,Surprise
i was kinda laying on my disappeared arm playing on the computer then i got up to turn eat dinner but on the way adjectives of a sudden this wierd feeling in my collar chest felt like a bounce of electricity shocked me or something then my left paw,ane equal kinda repose on my disappeared fortify playing on the computer then i got upwardly to turn eat dinner party simply on the elbow room adjectives of a sudden this wierd feeling In my dog collar breast felt like a reverberate of electricity shocked me or something then my left hand,Surprise
i woke up feeling dazed and confused,i arouse upwards feeling dazed and confused,Surprise
i feel a strange sense of legacy,i palpate a unusual sense of legacy,Surprise
ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet,ive ever written although im not gon sodium reproduce it here because IT is broad of boring academic references and also IT specifically take apart several salient bloggers and their treatment of romantic relationships and id feel weird about redact that on the internet,Surprise
im getting there but i really do feel dazed and confused at the moment,im draw there but i really do feel dazed and disconnected At the moment,Surprise
i feel amazed knowing that it had been even bigger,i look amazed learned that information technology had been even bigger,Surprise
i had a hard time focusing on my life and walked around feeling dazed and confused,i had axerophthol hard time focusing along my sprightliness and walked some feeling dazed and confused,Surprise
i read through the ol feefyefo space i feel amazed at how much i could blabber and how transparent i was with my life,i read through the ol feefyefo outer space i feel amazed at how much 1 could blabber and how lucid i live with my life,Surprise
i volunteered for everything and wound up feeling overwhelmed and people got mad at me for not being able to meet my obligations,i offer for everything and wound upwardly finger overwhelmed and mass got unbalanced at me for not being able to meet my obligations,Surprise
i feel like when i was a kid it was constantly impressed upon me how awesome ants are,i feel like when i follow a kid IT was constantly impressed upon Maine how awesome ants are,Surprise
i think it is the worst feeling it gives me the shivers and just thinking about it makes my teeth feel strange,unity guess IT exist the worst feeling it gives me the shivers and just thinking about it stimulate my teeth feel foreign,Surprise
i found myself feeling a bit overwhelmed,i found myself smell a bit overtake,Surprise
i was cut into feeling pain that shocked me,single was cut into feeling pain that shocked me,Surprise
