text,transformed_text,label
The majority of them are as stupid as real Negroes .,The of them are as stupid real .,Hate
put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,put kids in a ophanage and arrest whore of a mother to a not having more biracial kids 8 kids have to suffer all their lives due a,Hate
Get one of these t-shirts for next time you see him : - Asatru Versand - Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shirt ) Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shir themd-kein-islam,Get one of these t-shirts for next time you see him : - Asatru Versand - Kein Islam in Europa - Das ist schlimm genug ( T-Shirt ) Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shir themd-kein-islam,Hate
I guess I would be destined for the gas chambers .,I would be destined for gas chambers .,Hate
"Take it slow then gradual , hell make them watch MTV for a few hours it 's the same thing as animal planet. and just gradually introduce them to your views .","Take it then gradual , hell make them watch MTV for a few hours it 's the same thing as animal planet . and just introduce to your views .",Hate
I would hate to live in Dublin with all the foreigners there now .,would hate live Dublin with all the foreigners there now .,Hate
"I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis .","I 'm moving to a bigger house pretty soon , and that map is perfect doing a groidal analysis",Hate
"About the Chinese , those who remain in their own country are good , those who become illegal immigrants in white nations are bad .","About the Chinese , those who remain in their own are good , those who become immigrants in white nations are bad .",Hate
Sooner or later the black one will say `` mother * * * * er '' or `` madick '' .,Sooner or later the black one say `` mother * * * * er `` `` madick `` .,Hate
I wonder what the shegroid that came running up did .,I wonder what the shegroid that came running up did .,Hate
I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here .,I sort of hoping that they bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted .,Hate
White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...,White kids to interact with kneegrows and other non white kids or they 'll lost in the real come the time they leave home ...,Hate
This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events .... a much better target ..... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper `` as their poster for their last event .,This family that wants to complain gays should to San Francisco and raise some these gay pride events .... a much better target ..... and these people in San Francisco openly blasphemied Christ with their parody of ' The Supper `` as their poster for their last event .,Hate
The have no concept of honour or of having respect for the feelings of others .,The have no concept of honour or having respect for the feelings of others .,Hate
Why would you want to see this pollution spread further into our gene pool ?,Why would you want to see this pollution spread further into our gene pool ?,Hate
This is completely disgusting ... How can we continue to house these people who have complete contempt for us and all our laws and customs ?,This is disgusting ... How can we continue house these people who have complete contempt for us and all our laws and customs ?,Hate
These ' people ' are just scum .,These ' ' are just scum .,Hate
There have been times when I have walked past some nigerian or skinny and they will cough with hand at their side without care for those around them .,There have been times when I walked past some nigerian or skinny and they cough with hand their side without care for those around .,Hate
"Watch the video , its only 10 minutes , you will see that eventually the bi-racial minority is butchered .","Watch the video , its only minutes , you will see that eventually the bi-racial minority is butchered .",Hate
"We need more of our kids on the honor role and in college , crowding out the non-W 's !","We need more of our kids on the honor role and college , crowding out the non-W 's !",Hate
"If this stupid brown savages would stop slaughtering animals or worshipping them ( like they do in India ) , maybe they would n't be starving and so poor .","this stupid brown savages would stop slaughtering animals or worshipping them like they do in India ) , maybe they would n't starving and so poor .",Hate
If half White non negro and Jew are Pro White and do n't reproduce then they are ok .,If half non negro Jew are Pro and do n't reproduce then they are ok,Hate
Charlton Heston is rolling over in his grave knowing an ape has been elected to the white house .,Heston is rolling over in his grave knowing an has been elected to the white house .,Hate
They ca n't stand toe to toe with the white man so they just dance around until they 're tired .,They ca n't stand toe to with the white man so just dance around until they 're tired .,Hate
May the wigger sister and parents be haunted by her death for the rest of their lives as it is in effect by their hands and actions that their sister and daughter was murdered by this beast .,May the wigger sister and parents be haunted by her death for the rest of their lives as it is in effect by their hands actions that their sister and was murdered by this beast .,Hate
Americans and Irish understand each other better than Spaniards and the beaners .. the US and Ireland are the 1st world so they are educated unlike the beaners .,Americans and understand other better than Spaniards and the beaners the US and Ireland are the 1st world so they are educated unlike the beaners .,Hate
"The negro is for White genocide , and I have nothing for the negro , not even sympathy in any way .","The negro is for White genocide , and I have nothing for negro , not even sympathy in any way .",Hate
I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,I am White and believe all White people the between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just non Whites .,Hate
They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',They 're cowards and simpletons who are utterly incapable of generating a reasoned argument free sententiously repeated stock phrases and scare-words like `` racist . ``,Hate
It really pisses of the liberal leftist,pisses of the leftist,Hate
