headline,label
5 types of web content for driving extra traffic,0
"new, improved olean 30 percent less likely to make you shit in your pants",1
two thumbs down on air nonsense,0
"autopsy determines total loser's corpse contained no traces of drugs, alcohol",1
benedict cumberbatch prepares for battle in magical new 'doctor strange' trailer,0
u.s. reverses course and offers new dates for nato talks,0
a letter to parents at the start of a new school year,0
u.s. figure skating team makes history with record number of asian-americans,0
lesbian couple enjoys hot lesbian action,1
this big dog and little bird are inseparable pals,0
gallant amazon user heroically defends 'fringe' season 2 box set from negative reviewers,1
donald trump says his supporters should 'hit back' at protesters more often,0
it just got easier for detroit students to pay for college,0
"kim, cosby and kim: 2014's greatest fails",0
poll worker injured by trump sign booby-trapped with razor blades,0
local los angeles awards show slated to open for grammys,1
rubio slams private fundraiser secrecy: 'it's a public event',0
chester bennington's wife shares video of him laughing hours before his death,0
food critic's wife makes the best lasagna she possibly can,1
welterweight boxer dies after sustaining serious injuries in bout,0
the bus that did not stop for us: a mother's take on the headscarf court ruling,0
confessions of a secret dog stalker,0
troy aikman: i 'knock on wood' hoping i stay healthy after concussions,0
a lifeline for disappearing cod,0
permission denied,0
at&t set to announce directv acquisition sunday,0
french prime minister: we are at war against radical islam,0
olympic swimmer ariana kukors is ready to fight sexual abuse in sports,0
how to write a thank you that gets you hired,0
relapse greatest week of man's life,1
"trump rebuffs his opioid task force, declines to declare state of emergency",0
suspected austin bomber dead in confrontation with police,0
largest ever all-female expedition sets sail for antarctica,0
friday's morning email: the latest in the trump-comey saga,0
horde of orange monsters exits local tanning salon,1
trump loved 'excellent actress and fine person' meryl streep in 2015,0
patty jenkins 'extremely distressed' over brett ratner allegations,0
ringo starr announces 26th beatles album with new backing band,1
"women in business: three generations of women in radio: renee roth, jo-ann silverstein and rachel roth",0
trump dismisses accusers as women,1
trump supporters move to block vote recounts in 3 states,0
mike pence brings wife up onstage to help demonstrate how much contact appropriate before marriage,1
"israel retroactively legalizes 4,000 settler homes",0
'i'm sorry i didn't finish the job',0
