text,label,source,original_text
i feeling shocked and somewhat embarrassed the unity rite was consecrated in was so much me,5,synthetic,i remember feeling shocked and somewhat embarrassed that the adf unity rite i was consecrated in was so much about me
i think and feel its sad its weird but more than any of that its the truth,5,synthetic,i think and feel its funny its sad its weird but more than any of that its the truth
i like oh awesome blah but then he was like reminding me hes interested in this other girl and i was like i know this what concerns me more is if it makes you feel too weird to be with me like this,5,synthetic,i was like oh thats awesome blah but then he was like reminding me hes interested in this other girl and i was like i know this but what concerns me more is if it makes you feel too weird to be with me like this
i am bit overwhelmed here,5,synthetic,i am feeling a bit overwhelmed here
i like itd be strange at least and possibly offensive to tell a gay friend id like to experiment or something like that,5,synthetic,i feel like itd be strange at the least and possibly offensive to tell a gay friend id like to experiment or something like that
i am feeling so stunned and about earthquake in christchurch new yesterday,5,synthetic,i am feeling so stunned and sad about the earthquake in christchurch new zealand yesterday
i feel not adding a picture at the bottom of my post like denis and dave,5,synthetic,i almost feel funny not adding a picture at the bottom of my post like denis and dave
i believe the most readers feel impressed by the journey,5,synthetic,i believe the most readers feel impressed by the individual journey
i have learned much with him even now i still learn new things rabbits i feel you always keep about them being amazed by them,5,synthetic,i have learned so much with him even now i still learn new things about rabbits i feel you always keep learning about them being amazed by them
i feel weird if i just do nothing,5,synthetic,i feel weird if i just do completely nothing
i often sat back and feel amazed when episode was over,5,synthetic,i often sat back and feel amazed when the episode was over
i asked darren about it when he got home as i was feeling bit curious even though it really matter and it was really none of my business,5,synthetic,i asked darren about it when he got home as i was feeling a bit curious even though it didnt really matter and it was really none of my business
i feel sort of dazed and cross eyed,5,synthetic,i feel sort of dazed and cross eyed
i do like think that in near future ill feel the urge to write up an album or that has really impressed me most likely a href http handsomefamily,5,synthetic,i do like to think that in the near future ill feel the urge to write up an album or two that has really impressed me most likely a href http handsomefamily
i guess it doesn t help i got on black friday and was forced will to maintain my promise to stay in but being back in the city feels amazing,5,synthetic,i guess it doesn t help that i got sick on black friday and was forced against my will to maintain my promise to stay in but being back in the city feels amazing
i just really feel so curious about whether you dad have ever been bitten,5,synthetic,i just really feel so curious about whether you and dad have ever been bitten
i feel weird,5,synthetic,i feel weird
i feel that im most amazed still by silent which is an instrumental song ala hizaki,5,synthetic,i feel that im most amazed still by silent knight which is an instrumental song ala hizaki
i was kinda laying on my disappeared arm playing on the computer then i got up to turn dinner but on the way adjectives a sudden this wierd feeling in my collar chest felt like a bounce of electricity shocked me or then my left paw,5,synthetic,i was kinda laying on my disappeared arm playing on the computer then i got up to turn eat dinner but on the way adjectives of a sudden this wierd feeling in my collar chest felt like a bounce of electricity shocked me or something then my left paw
i woke up feeling dazed and confused,5,synthetic,i woke up feeling dazed and confused
feel a strange sense of legacy,5,synthetic,i feel a strange sense of legacy
ive ever although im not na reproduce it here because it is of boring academic references and also it analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet,5,synthetic,ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet
im getting there but really do feel dazed and confused at the,5,synthetic,im getting there but i really do feel dazed and confused at the moment
i feel amazed knowing that it had been even bigger,5,synthetic,i feel amazed knowing that it had been even bigger
i a hard time focusing on my life and walked around feeling and confused,5,synthetic,i had a hard time focusing on my life and walked around feeling dazed and confused
i read through the ol space i amazed at how i could blabber and how transparent i was life,5,synthetic,i read through the ol feefyefo space i feel amazed at how much i could blabber and how transparent i was with my life
